Action,Agent X,Agent Y,Observation,Predator X,Predator Y,Reward
-1,7,0,-1,0,0,0
1,8,0,1,1,0,-1
1,9,0,1,3,0,-1
1,10,0,1,4,0,-1
1,11,0,1,5,0,-1
1,12,0,1,7,0,-1
1,13,0,1,8,0,-1
1,14,0,1,9,0,-1
0,14,1,1,10,0,-1
0,14,2,1,11,0,-1
0,14,3,0,12,0,-1
0,14,4,0,11,0,-1
0,14,5,0,12,0,-1
0,14,6,0,12,1,-1
0,14,7,0,13,1,-1
0,14,8,0,12,1,-1
0,14,9,0,13,1,-1
0,14,10,0,12,1,-1
0,14,11,0,13,1,-1
3,13,11,0,12,1,-1
0,13,12,1,11,1,-1
3,12,12,1,11,2,-1
3,11,12,1,11,4,-1
3,10,12,1,11,5,-1
3,9,12,1,11,6,-1
3,8,12,1,11,7,-1
3,7,12,1,11,6,-1
1,8,12,1,11,7,-1
0,8,13,1,11,8,-1
3,7,13,1,11,9,-1
0,7,14,1,11,10,999
0,7,14,1,11,10,999
