Action,Agent X,Agent Y,Observation,Predator X,Predator Y,Reward
-1,7,0,-1,9,14,0
0,7,1,0,9,13,-1
0,7,2,0,8,13,-1
0,7,3,0,8,12,-1
0,7,4,0,8,13,-1
2,7,3,0,8,12,-1
0,7,4,0,7,12,-1
2,7,3,0,6,12,-1
0,7,4,0,7,12,-1
2,7,3,0,8,12,-1
1,8,3,0,9,12,-1
3,7,3,0,8,12,-1
1,8,3,0,9,12,-1
2,8,2,0,8,12,-1
0,8,3,0,8,13,-1
3,7,3,0,7,13,-1
0,7,4,0,8,13,-1
1,8,4,0,7,13,-1
0,8,5,0,8,13,-1
0,8,6,0,7,13,-1
1,9,6,1,7,14,-1
2,9,5,0,7,13,-1
0,9,6,1,7,14,-1
2,9,5,0,7,13,-1
2,9,4,0,7,12,-1
3,8,4,0,7,11,-1
3,7,4,0,8,11,-1
1,8,4,0,9,11,-1
3,7,4,0,9,10,-1
2,7,3,0,9,11,-1
3,6,3,0,9,12,-1
1,7,3,0,8,12,-1
3,6,3,0,8,13,-1
1,7,3,0,9,13,-1
0,7,4,0,8,13,-1
2,7,3,0,8,14,-1
1,8,3,0,8,13,-1
0,8,4,0,7,13,-1
0,8,5,0,6,13,-1
0,8,6,0,5,13,-1
1,9,6,0,5,14,-1
0,9,7,0,5,13,-1
0,9,8,1,5,14,-1
1,10,8,1,5,12,-1
2,10,7,1,5,11,-1
1,11,7,1,6,11,-1
2,11,6,0,6,10,-1
1,12,6,1,6,11,-1
2,12,5,0,6,10,-1
1,13,5,0,6,9,-1
2,13,4,0,6,10,-1
2,13,3,0,7,9,-1
3,12,3,1,8,9,-1
2,12,2,1,9,8,-1
1,13,2,1,9,6,-1
1,14,2,1,10,6,-1
3,13,2,1,10,4,-1
1,14,2,1,9,3,-1
0,14,3,1,11,3,-1
2,14,2,1,13,3,-1
2,14,1,1,14,2,-1
3,13,1,1,13,1,-101
3,13,1,1,13,1,-101
