Action,Agent X,Agent Y,Observation,Predator X,Predator Y,Reward
-1,7,0,-1,0,7,0
1,8,0,0,1,7,-1
0,8,1,0,1,6,-1
1,9,1,0,1,5,-1
0,9,2,0,2,5,-1
0,9,3,0,3,5,-1
0,9,4,0,3,4,-1
1,10,4,0,2,4,-1
1,11,4,0,2,5,-1
0,11,5,0,2,4,-1
0,11,6,0,2,5,-1
0,11,7,0,3,5,-1
1,12,7,0,3,4,-1
3,11,7,0,3,5,-1
0,11,8,0,3,4,-1
3,10,8,0,2,4,-1
0,10,9,0,3,4,-1
0,10,10,0,2,4,-1
0,10,11,0,3,4,-1
0,10,12,0,4,4,-1
1,11,12,0,3,4,-1
1,12,12,0,3,5,-1
3,11,12,0,2,5,-1
0,11,13,0,1,5,-1
0,11,14,0,2,5,-1
3,10,14,0,3,5,-1
1,11,14,0,3,4,-1
3,10,14,0,4,4,-1
1,11,14,0,4,3,-1
3,10,14,0,4,4,-1
1,11,14,0,4,3,-1
2,11,13,0,5,3,-1
0,11,14,0,6,3,-1
3,10,14,0,5,3,-1
2,10,13,0,4,3,-1
0,10,14,0,4,4,-1
2,10,13,0,4,3,-1
3,9,13,0,4,4,-1
1,10,13,0,3,4,-1
1,11,13,0,4,4,-1
2,11,12,0,3,4,-1
2,11,11,0,4,4,-1
0,11,12,0,4,3,-1
3,10,12,0,5,3,-1
1,11,12,0,6,3,-1
2,11,11,0,5,3,-1
3,10,11,0,4,3,-1
0,10,12,0,5,3,-1
2,10,11,0,4,3,-1
1,11,11,0,5,3,-1
3,10,11,0,6,3,-1
3,9,11,0,5,3,-1
3,8,11,0,6,3,-1
0,8,12,0,7,3,-1
0,8,13,0,8,3,-1
0,8,14,0,8,4,-1
2,8,13,0,8,5,-1
2,8,12,0,8,4,-1
0,8,13,0,7,4,-1
1,9,13,0,8,4,-1
0,9,14,0,8,5,-1
3,8,14,0,7,5,-1
1,9,14,0,6,5,-1
3,8,14,0,7,5,-1
1,9,14,0,8,5,-1
3,8,14,0,7,5,-1
1,9,14,0,7,4,-1
3,8,14,0,8,4,-1
1,9,14,0,8,5,-1
3,8,14,0,7,5,-1
3,7,14,0,6,5,999
3,7,14,0,6,5,999
