Action,Agent X,Agent Y,Observation,Predator X,Predator Y,Reward
-1,7,0,-1,2,1,0
1,8,0,1,4,1,-1
1,9,0,1,5,1,-1
1,10,0,1,6,1,-1
1,11,0,1,7,1,-1
1,12,0,1,6,1,-1
1,13,0,1,7,1,-1
1,14,0,1,6,0,-1
0,14,1,1,8,0,-1
0,14,2,1,7,0,-1
0,14,3,1,6,0,-1
0,14,4,1,8,0,-1
0,14,5,1,10,0,-1
0,14,6,1,10,1,-1
0,14,7,1,10,2,-1
0,14,8,1,10,3,-1
3,13,8,1,10,5,-1
0,13,9,1,11,6,-1
0,13,10,1,11,7,-1
0,13,11,1,11,8,-1
0,13,12,1,12,7,-1
3,12,12,1,12,8,-1
3,11,12,1,13,8,-1
3,10,12,1,12,9,-1
3,9,12,1,11,9,-1
0,9,13,1,11,10,-1
3,8,13,1,10,10,-1
0,8,14,1,11,11,-1
3,7,14,1,12,10,999
3,7,14,1,12,10,999
