Action,Agent X,Agent Y,Observation,Predator X,Predator Y,Reward
-1,7,0,-1,0,0,0
1,8,0,1,1,0,-1
0,8,1,1,2,0,-1
0,8,2,0,3,0,-1
0,8,3,0,4,0,-1
1,9,3,0,4,1,-1
1,10,3,0,5,1,-1
0,10,4,0,6,1,-1
0,10,5,1,6,2,-1
2,10,4,0,6,1,-1
0,10,5,1,7,1,-1
1,11,5,1,8,1,-1
1,12,5,1,9,2,-1
0,12,6,1,9,3,-1
0,12,7,1,9,4,-1
1,13,7,1,11,4,-1
0,13,8,1,12,3,-1
0,13,9,1,12,4,-1
0,13,10,1,12,5,-1
3,12,10,0,12,6,-1
0,12,11,0,12,7,-1
3,11,11,0,12,8,-1
0,11,12,1,13,8,-1
3,10,12,1,14,8,-1
3,9,12,0,14,7,-1
2,9,11,0,14,6,-1
0,9,12,0,14,5,-1
3,8,12,0,13,5,-1
0,8,13,0,12,5,-1
3,7,13,0,11,5,-1
0,7,14,0,11,4,999
0,7,14,0,11,4,999
