Action,Agent X,Agent Y,Observation,Predator X,Predator Y,Reward
-1,7,0,-1,0,0,0
1,8,0,1,2,0,-1
1,9,0,1,4,0,-1
1,10,0,1,5,0,-1
1,11,0,1,6,0,-1
0,11,1,1,8,0,-1
0,11,2,0,8,1,-1
0,11,3,0,7,1,-1
3,10,3,0,8,1,-1
0,10,4,0,9,1,-1
3,9,4,0,10,1,-1
3,8,4,0,11,1,-1
3,7,4,0,11,2,-1
3,6,4,0,11,1,-1
3,5,4,0,12,1,-1
3,4,4,0,12,2,-1
3,3,4,0,12,3,-1
3,2,4,0,13,3,-1
2,2,3,0,13,2,-1
0,2,4,0,13,1,-1
0,2,5,0,13,0,-1
2,2,4,0,13,1,-1
0,2,5,0,13,2,-1
2,2,4,0,14,2,-1
3,1,4,0,14,1,-1
0,1,5,0,14,2,-1
2,1,4,0,14,3,-1
2,1,3,0,14,2,-1
3,0,3,0,13,2,-1
0,0,4,0,13,1,-1
0,0,5,0,12,1,-1
0,0,6,0,12,2,-1
0,0,7,1,12,3,-1
0,0,8,1,11,3,-1
0,0,9,1,10,3,-1
0,0,10,1,10,4,-1
0,0,11,0,11,4,-1
0,0,12,0,10,4,-1
0,0,13,0,9,4,-1
0,0,14,0,8,4,-1
1,1,14,0,7,4,-1
1,2,14,0,7,5,-1
1,3,14,0,6,5,-1
3,2,14,0,5,5,-1
1,3,14,0,4,5,-1
2,3,13,0,3,5,-1
2,3,12,0,3,6,-1
0,3,13,0,3,7,-1
2,3,12,0,3,8,-1
0,3,13,0,2,8,-1
2,3,12,0,2,9,-1
1,4,12,0,1,9,-1
1,5,12,0,1,10,-1
0,5,13,0,2,10,-1
1,6,13,0,2,9,-1
3,5,13,0,1,9,-1
0,5,14,0,2,9,-1
1,6,14,0,1,9,-1
1,7,14,0,1,8,999
1,7,14,0,1,8,999
