Action,Agent X,Agent Y,Observation,Predator X,Predator Y,Reward
-1,7,0,-1,3,6,0
3,6,0,0,4,6,-1
0,6,1,0,4,5,-1
1,7,1,0,4,4,-1
2,7,0,1,5,4,-1
1,8,0,0,6,4,-1
1,9,0,0,6,3,-1
1,10,0,0,6,2,-1
1,11,0,1,6,1,-1
1,12,0,0,8,1,-1
0,12,1,0,8,0,-1
0,12,2,0,9,0,-1
1,13,2,0,10,0,-1
0,13,3,0,9,0,-1
0,13,4,0,10,0,-1
0,13,5,0,9,0,-1
0,13,6,0,10,0,-1
3,12,6,0,9,0,-1
1,13,6,0,10,0,-1
3,12,6,0,9,0,-1
1,13,6,0,8,0,-1
0,13,7,0,9,0,-1
0,13,8,0,10,0,-1
0,13,9,0,11,0,-1
0,13,10,0,10,0,-1
2,13,9,0,11,0,-1
0,13,10,0,10,0,-1
0,13,11,0,9,0,-1
2,13,10,0,10,0,-1
2,13,9,0,11,0,-1
1,14,9,0,10,0,-1
3,13,9,0,11,0,-1
1,14,9,0,10,0,-1
0,14,10,0,9,0,-1
0,14,11,0,10,0,-1
2,14,10,0,11,0,-1
0,14,11,0,10,0,-1
0,14,12,0,9,0,-1
2,14,11,0,10,0,-1
2,14,10,0,9,0,-1
0,14,11,0,10,0,-1
3,13,11,0,11,0,-1
2,13,10,0,10,0,-1
1,14,10,0,9,0,-1
0,14,11,0,10,0,-1
0,14,12,0,11,0,-1
2,14,11,0,10,0,-1
0,14,12,0,9,0,-1
2,14,11,0,10,0,-1
0,14,12,0,11,0,-1
2,14,11,1,12,0,-1
2,14,10,0,10,0,-1
0,14,11,0,11,0,-1
0,14,12,0,12,0,-1
0,14,13,0,12,1,-1
0,14,14,0,12,2,-1
2,14,13,0,13,2,-1
2,14,12,0,13,3,-1
0,14,13,1,13,5,-1
3,13,13,0,13,6,-1
3,12,13,0,13,8,-1
2,12,12,0,13,9,-1
0,12,13,1,13,10,-1
3,11,13,0,14,11,-1
0,11,14,1,13,11,-1
3,10,14,1,14,10,-1
1,11,14,1,13,10,-1
3,10,14,1,13,11,-1
2,10,13,0,14,11,-1
0,10,14,1,13,11,-1
2,10,13,0,14,10,-1
0,10,14,1,13,11,-1
2,10,13,0,13,10,-1
0,10,14,1,13,11,-1
2,10,13,0,13,10,-1
0,10,14,0,13,9,-1
1,11,14,1,13,10,-1
3,10,14,1,13,11,-1
2,10,13,0,14,11,-1
0,10,14,1,13,11,-1
2,10,13,0,13,10,-1
0,10,14,1,13,11,-1
2,10,13,0,14,10,-1
0,10,14,0,13,9,-1
1,11,14,1,13,10,-1
3,10,14,1,14,10,-1
1,11,14,1,13,10,-1
3,10,14,0,14,11,-1
2,10,13,0,13,11,-1
3,9,13,0,14,11,-1
3,8,13,0,13,11,-1
3,7,13,0,14,11,-1
1,8,13,0,13,11,-1
3,7,13,0,13,10,-1
1,8,13,0,13,11,-1
3,7,13,0,14,11,-1
1,8,13,0,13,11,-1
0,8,14,0,13,10,-1
2,8,13,0,13,11,-1
0,8,14,0,14,11,-1
2,8,13,0,13,11,-1
0,8,14,0,14,11,-1
2,8,13,0,14,12,-1
0,8,14,0,14,13,-1
2,8,13,1,12,13,-1
0,8,14,0,10,13,-1
2,8,13,1,9,13,-1
3,7,13,1,7,13,-101
3,7,13,1,7,13,-101
