Action,Agent X,Agent Y,Observation,Predator X,Predator Y,Reward
-1,7,0,-1,12,0,0
0,7,1,0,11,0,-1
3,6,1,0,11,1,-1
2,6,0,0,11,2,-1
3,5,0,0,10,2,-1
3,4,0,0,10,3,-1
3,3,0,0,10,4,-1
1,4,0,0,10,3,-1
1,5,0,0,10,2,-1
0,5,1,0,10,3,-1
0,5,2,0,10,4,-1
2,5,1,0,10,3,-1
3,4,1,0,10,4,-1
2,4,0,0,10,3,-1
3,3,0,0,10,4,-1
0,3,1,0,10,5,-1
1,4,1,0,10,6,-1
1,5,1,0,10,7,-1
0,5,2,1,9,6,-1
3,4,2,1,7,6,-1
2,4,1,1,6,5,-1
3,3,1,1,6,4,-1
3,2,1,1,6,3,-1
3,1,1,0,4,3,-1
0,1,2,0,4,2,-1
0,1,3,0,5,2,-1
3,0,3,0,4,2,-1
1,1,3,0,4,1,-1
0,1,4,0,3,1,-1
3,0,4,0,4,1,-1
0,0,5,0,3,1,-1
1,1,5,0,2,1,-1
0,1,6,0,3,1,-1
0,1,7,0,2,1,-1
3,0,7,0,3,1,-1
0,0,8,0,2,1,-1
1,1,8,1,1,1,-1
1,2,8,1,1,2,-1
1,3,8,1,1,4,-1
0,3,9,1,0,4,-1
1,4,9,1,0,5,-1
0,4,10,1,0,6,-1
0,4,11,1,1,5,-1
0,4,12,0,1,6,-1
1,5,12,0,0,6,-1
0,5,13,0,0,7,-1
3,4,13,0,1,7,-1
1,5,13,1,2,7,-1
0,5,14,1,3,8,-1
1,6,14,1,3,9,-1
3,5,14,1,4,10,-1
1,6,14,1,4,12,-1
1,7,14,1,6,12,999
1,7,14,1,6,12,999
