Action,Agent X,Agent Y,Observation,Predator X,Predator Y,Reward
-1,7,0,-1,13,7,0
1,8,0,0,13,8,-1
1,9,0,0,13,7,-1
1,10,0,0,14,7,-1
1,11,0,0,13,7,-1
3,10,0,0,12,7,-1
1,11,0,0,12,8,-1
3,10,0,0,12,9,-1
1,11,0,0,11,9,-1
3,10,0,0,12,9,-1
1,11,0,0,13,9,-1
3,10,0,0,12,9,-1
1,11,0,0,13,9,-1
3,10,0,0,13,8,-1
1,11,0,0,13,9,-1
3,10,0,0,12,9,-1
1,11,0,0,13,9,-1
3,10,0,0,13,10,-1
1,11,0,0,13,11,-1
3,10,0,0,13,10,-1
1,11,0,0,14,10,-1
3,10,0,0,14,9,-1
1,11,0,0,14,8,-1
3,10,0,0,14,9,-1
1,11,0,0,13,9,-1
3,10,0,0,12,9,-1
1,11,0,0,12,10,-1
3,10,0,0,11,10,-1
1,11,0,0,10,10,-1
3,10,0,0,11,10,-1
1,11,0,0,12,10,-1
3,10,0,0,12,9,-1
1,11,0,0,11,9,-1
3,10,0,0,11,8,-1
1,11,0,0,11,9,-1
3,10,0,0,11,8,-1
1,11,0,0,11,9,-1
3,10,0,0,11,8,-1
1,11,0,0,11,9,-1
3,10,0,0,11,8,-1
1,11,0,0,12,8,-1
3,10,0,0,11,8,-1
1,11,0,0,12,8,-1
3,10,0,0,11,8,-1
1,11,0,0,11,7,-1
3,10,0,0,11,8,-1
1,11,0,0,11,7,-1
3,10,0,0,11,6,-1
1,11,0,0,11,7,-1
3,10,0,0,11,6,-1
1,11,0,0,12,6,-1
3,10,0,0,11,6,-1
1,11,0,0,11,5,-1
3,10,0,0,10,5,-1
1,11,0,0,10,6,-1
3,10,0,0,9,6,-1
1,11,0,0,8,6,-1
3,10,0,1,8,4,-1
1,11,0,1,8,3,-1
3,10,0,1,8,2,-1
1,11,0,1,9,2,-1
3,10,0,1,8,1,-1
1,11,0,1,9,1,-1
3,10,0,1,10,1,-1
3,9,0,1,9,1,-1
3,8,0,1,8,1,-1
3,7,0,1,7,0,-101
3,7,0,1,7,0,-101
