Action,Agent X,Agent Y,Observation,Predator X,Predator Y,Reward
-1,7,0,-1,9,14,0
3,6,0,0,9,13,-1
3,5,0,0,9,14,-1
1,6,0,0,9,13,-1
3,5,0,0,8,13,-1
0,5,1,0,7,13,-1
2,5,0,0,6,13,-1
0,5,1,0,7,13,-1
0,5,2,0,6,13,-1
2,5,1,0,6,14,-1
2,5,0,0,5,14,-1
0,5,1,0,5,13,-1
2,5,0,1,4,13,-1
1,6,0,1,4,12,-1
1,7,0,1,4,11,-1
1,8,0,1,4,9,-1
1,9,0,1,4,10,-1
1,10,0,0,6,10,-1
0,10,1,0,6,9,-1
3,9,1,0,6,8,-1
2,9,0,1,6,4,-1
1,10,0,1,6,3,-1
1,11,0,1,7,2,-1
3,10,0,1,8,2,-1
1,11,0,1,9,1,-1
1,12,0,0,10,1,-1
3,11,0,1,10,0,-1
1,12,0,1,9,0,-1
1,13,0,1,11,0,-1
0,13,1,1,12,0,-1
0,13,2,1,13,0,-1
1,14,2,1,12,1,-1
0,14,3,1,13,1,-1
0,14,4,0,13,2,-1
2,14,3,1,14,3,-101
2,14,3,1,14,3,-101
