Action,Agent X,Agent Y,Observation,Predator X,Predator Y,Reward
-1,7,0,-1,0,0,0
0,7,1,0,1,0,-1
3,6,1,0,2,0,-1
0,6,2,0,3,0,-1
1,7,2,0,4,0,-1
0,7,3,0,3,0,-1
3,6,3,0,3,1,-1
1,7,3,0,2,1,-1
0,7,4,0,3,1,-1
3,6,4,0,3,0,-1
0,6,5,0,3,1,-1
0,6,6,0,3,0,-1
2,6,5,0,3,1,-1
1,7,5,0,2,1,-1
0,7,6,0,3,1,-1
2,7,5,0,3,0,-1
0,7,6,0,3,1,-1
2,7,5,0,2,1,-1
0,7,6,0,1,1,-1
3,6,6,0,2,1,-1
1,7,6,0,3,1,-1
1,8,6,0,2,1,-1
3,7,6,0,3,1,-1
2,7,5,0,2,1,-1
0,7,6,0,1,1,-1
0,7,7,0,2,1,-1
1,8,7,0,3,1,-1
0,8,8,0,2,1,-1
1,9,8,0,1,1,-1
3,8,8,0,2,1,-1
3,7,8,0,3,1,-1
3,6,8,0,3,0,-1
1,7,8,0,3,1,-1
1,8,8,0,2,1,-1
0,8,9,0,2,0,-1
0,8,10,0,3,0,-1
0,8,11,0,3,1,-1
3,7,11,0,2,1,-1
0,7,12,0,3,1,-1
3,6,12,0,3,0,-1
2,6,11,0,4,0,-1
1,7,11,0,3,0,-1
0,7,12,0,3,1,-1
1,8,12,0,2,1,-1
0,8,13,0,1,1,-1
0,8,14,0,2,1,-1
3,7,14,0,3,1,999
3,7,14,0,3,1,999
