Action,Agent X,Agent Y,Observation,Predator X,Predator Y,Reward
-1,7,0,-1,11,14,0
0,7,1,0,10,14,-1
0,7,2,0,9,14,-1
1,8,2,0,10,14,-1
0,8,3,0,10,13,-1
2,8,2,0,9,13,-1
0,8,3,0,8,13,-1
2,8,2,0,8,14,-1
0,8,3,0,7,14,-1
2,8,2,0,6,14,-1
0,8,3,0,7,14,-1
2,8,2,0,8,14,-1
0,8,3,0,9,14,-1
2,8,2,0,8,14,-1
0,8,3,0,8,13,-1
2,8,2,0,7,13,-1
0,8,3,0,8,13,-1
2,8,2,0,7,13,-1
0,8,3,0,6,13,-1
2,8,2,0,5,13,-1
0,8,3,0,5,12,-1
2,8,2,0,5,11,-1
0,8,3,0,5,10,-1
2,8,2,0,5,9,-1
0,8,3,0,5,10,-1
2,8,2,0,4,10,-1
0,8,3,0,4,9,-1
2,8,2,0,4,10,-1
0,8,3,0,5,10,-1
2,8,2,0,5,9,-1
0,8,3,0,4,9,-1
2,8,2,0,4,8,-1
0,8,3,0,4,9,-1
2,8,2,0,3,9,-1
0,8,3,0,3,10,-1
2,8,2,0,3,9,-1
0,8,3,0,3,10,-1
2,8,2,0,3,11,-1
0,8,3,0,3,10,-1
2,8,2,0,2,10,-1
0,8,3,0,1,10,-1
2,8,2,0,2,10,-1
2,8,1,1,2,7,-1
2,8,0,1,3,6,-1
1,9,0,1,4,5,-1
1,10,0,1,5,4,-1
1,11,0,1,6,3,-1
0,11,1,0,7,3,-1
1,12,1,0,8,3,-1
0,12,2,0,8,2,-1
2,12,1,1,8,1,-1
2,12,0,1,9,1,-1
1,13,0,1,10,1,-1
1,14,0,1,12,1,-1
0,14,1,1,13,1,-1
0,14,2,1,14,1,-1
0,14,3,1,14,3,-101
0,14,3,1,14,3,-101
