Action,Agent X,Agent Y,Observation,Predator X,Predator Y,Reward
-1,7,0,-1,0,0,0
0,7,1,0,1,0,-1
1,8,1,0,1,1,-1
1,9,1,0,1,0,-1
1,10,1,0,2,0,-1
2,10,0,0,3,0,-1
0,10,1,0,2,0,-1
0,10,2,0,3,0,-1
2,10,1,0,2,0,-1
2,10,0,0,3,0,-1
0,10,1,0,2,0,-1
0,10,2,0,1,0,-1
2,10,1,0,2,0,-1
1,11,1,0,1,0,-1
3,10,1,0,2,0,-1
1,11,1,0,3,0,-1
0,11,2,0,2,0,-1
0,11,3,0,3,0,-1
0,11,4,0,2,0,-1
3,10,4,0,1,0,-1
0,10,5,0,2,0,-1
0,10,6,0,3,0,-1
1,11,6,0,2,0,-1
3,10,6,0,3,0,-1
1,11,6,0,2,0,-1
3,10,6,0,1,0,-1
0,10,7,0,2,0,-1
0,10,8,0,3,0,-1
2,10,7,0,2,0,-1
3,9,7,0,3,0,-1
2,9,6,0,2,0,-1
2,9,5,0,3,0,-1
3,8,5,0,2,0,-1
1,9,5,0,1,0,-1
0,9,6,0,2,0,-1
1,10,6,0,3,0,-1
0,10,7,0,2,0,-1
3,9,7,0,3,0,-1
2,9,6,0,2,0,-1
0,9,7,0,3,0,-1
2,9,6,0,2,0,-1
1,10,6,0,1,0,-1
0,10,7,0,1,1,-1
1,11,7,0,0,1,-1
3,10,7,0,1,1,-1
1,11,7,0,0,1,-1
3,10,7,0,0,0,-1
3,9,7,0,0,1,-1
0,9,8,0,1,1,-1
3,8,8,0,1,0,-1
0,8,9,0,0,0,-1
2,8,8,0,0,1,-1
0,8,9,0,1,1,-1
2,8,8,0,0,1,-1
0,8,9,0,1,1,-1
3,7,9,0,0,1,-1
1,8,9,0,1,1,-1
0,8,10,0,1,0,-1
3,7,10,0,1,1,-1
1,8,10,0,1,0,-1
2,8,9,0,1,1,-1
0,8,10,0,0,1,-1
2,8,9,0,1,1,-1
0,8,10,0,1,0,-1
3,7,10,0,2,0,-1
1,8,10,0,1,0,-1
0,8,11,0,2,0,-1
0,8,12,0,1,0,-1
3,7,12,0,1,1,-1
1,8,12,0,0,1,-1
3,7,12,0,1,1,-1
0,7,13,0,1,0,-1
2,7,12,0,2,0,-1
0,7,13,0,3,0,-1
2,7,12,0,2,0,-1
0,7,13,0,3,0,-1
2,7,12,0,2,0,-1
0,7,13,0,3,0,-1
2,7,12,0,2,0,-1
0,7,13,0,1,0,-1
2,7,12,0,1,1,-1
0,7,13,0,1,0,-1
2,7,12,0,0,0,-1
0,7,13,0,0,1,-1
2,7,12,0,1,1,-1
0,7,13,0,0,1,-1
2,7,12,0,1,1,-1
0,7,13,0,1,0,-1
2,7,12,0,2,0,-1
0,7,13,0,1,0,-1
2,7,12,0,2,0,-1
0,7,13,0,3,0,-1
1,8,13,0,2,0,-1
3,7,13,0,3,0,-1
1,8,13,0,2,0,-1
3,7,13,0,3,0,-1
1,8,13,0,2,0,-1
3,7,13,0,3,0,-1
1,8,13,0,2,0,-1
3,7,13,0,3,0,-1
1,8,13,0,2,0,-1
3,7,13,0,3,0,-1
1,8,13,0,2,0,-1
3,7,13,0,3,0,-1
1,8,13,0,2,0,-1
3,7,13,0,3,0,-1
1,8,13,0,2,0,-1
3,7,13,0,3,0,-1
1,8,13,0,2,0,-1
3,7,13,0,3,0,-1
1,8,13,0,2,0,-1
0,8,14,0,3,0,-1
2,8,13,0,2,0,-1
0,8,14,0,3,0,-1
2,8,13,0,2,0,-1
0,8,14,0,3,0,-1
2,8,13,0,2,0,-1
0,8,14,0,3,0,-1
2,8,13,0,2,0,-1
0,8,14,0,3,0,-1
2,8,13,0,2,0,-1
0,8,14,0,3,0,-1
2,8,13,0,2,0,-1
0,8,14,0,3,0,-1
2,8,13,0,2,0,-1
0,8,14,0,1,0,-1
2,8,13,0,0,0,-1
0,8,14,0,0,1,-1
1,9,14,0,1,1,-1
3,8,14,0,1,0,-1
1,9,14,0,1,1,-1
3,8,14,0,0,1,-1
1,9,14,0,1,1,-1
3,8,14,0,1,0,-1
1,9,14,0,2,0,-1
3,8,14,0,3,0,-1
1,9,14,0,2,0,-1
3,8,14,0,3,0,-1
3,7,14,0,2,0,999
3,7,14,0,2,0,999
