Action,Agent X,Agent Y,Observation,Predator X,Predator Y,Reward
-1,7,0,-1,0,0,0
0,7,1,0,0,1,-1
1,8,1,0,1,1,-1
1,9,1,0,1,0,-1
3,8,1,0,2,0,-1
1,9,1,0,3,0,-1
3,8,1,0,2,0,-1
1,9,1,0,1,0,-1
3,8,1,0,2,0,-1
3,7,1,0,3,0,-1
1,8,1,0,2,0,-1
1,9,1,0,1,0,-1
1,10,1,0,0,0,-1
2,10,0,0,0,1,-1
0,10,1,0,1,1,-1
3,9,1,0,1,0,-1
3,8,1,0,1,1,-1
1,9,1,0,0,1,-1
1,10,1,0,1,1,-1
3,9,1,0,0,1,-1
1,10,1,0,0,0,-1
1,11,1,0,1,0,-1
2,11,0,0,1,1,-1
0,11,1,0,0,1,-1
1,12,1,0,1,1,-1
3,11,1,0,1,0,-1
3,10,1,0,1,1,-1
2,10,0,0,1,0,-1
0,10,1,0,2,0,-1
0,10,2,0,3,0,-1
2,10,1,0,2,0,-1
0,10,2,0,3,0,-1
2,10,1,0,2,0,-1
0,10,2,0,3,0,-1
2,10,1,0,2,0,-1
0,10,2,0,3,0,-1
1,11,2,0,2,0,-1
0,11,3,0,3,0,-1
0,11,4,0,2,0,-1
0,11,5,0,3,0,-1
3,10,5,0,2,0,-1
0,10,6,0,3,0,-1
0,10,7,0,2,0,-1
0,10,8,0,3,0,-1
0,10,9,0,2,0,-1
2,10,8,0,3,0,-1
2,10,7,0,2,0,-1
0,10,8,0,3,0,-1
3,9,8,0,2,0,-1
3,8,8,0,3,0,-1
0,8,9,0,2,0,-1
3,7,9,0,1,0,-1
0,7,10,0,2,0,-1
1,8,10,0,3,0,-1
2,8,9,0,2,0,-1
0,8,10,0,3,0,-1
0,8,11,0,2,0,-1
0,8,12,0,3,0,-1
3,7,12,0,2,0,-1
1,8,12,0,3,0,-1
2,8,11,0,2,0,-1
3,7,11,0,3,0,-1
0,7,12,0,2,0,-1
2,7,11,0,3,0,-1
0,7,12,0,2,0,-1
2,7,11,0,1,0,-1
0,7,12,0,2,0,-1
0,7,13,0,3,0,-1
2,7,12,0,2,0,-1
0,7,13,0,1,0,-1
2,7,12,0,1,1,-1
0,7,13,0,0,1,-1
2,7,12,0,1,1,-1
0,7,13,0,1,0,-1
2,7,12,0,1,1,-1
0,7,13,0,0,1,-1
2,7,12,0,1,1,-1
0,7,13,0,1,0,-1
2,7,12,0,2,0,-1
0,7,13,0,3,0,-1
2,7,12,0,2,0,-1
0,7,13,0,3,0,-1
3,6,13,0,2,0,-1
1,7,13,0,3,0,-1
3,6,13,0,2,0,-1
1,7,13,0,3,0,-1
3,6,13,0,2,0,-1
1,7,13,0,3,0,-1
3,6,13,0,2,0,-1
1,7,13,0,1,0,-1
3,6,13,0,1,1,-1
1,7,13,0,0,1,-1
3,6,13,0,0,0,-1
1,7,13,0,0,1,-1
3,6,13,0,0,0,-1
1,7,13,0,0,1,-1
3,6,13,0,1,1,-1
1,7,13,0,0,1,-1
3,6,13,0,1,1,-1
1,7,13,0,1,0,-1
0,7,14,0,1,1,999
0,7,14,0,1,1,999
