Action,Agent X,Agent Y,Observation,Predator X,Predator Y,Reward
-1,7,0,-1,2,14,0
1,8,0,0,1,14,-1
1,9,0,0,1,13,-1
0,9,1,0,1,12,-1
2,9,0,0,2,12,-1
3,8,0,0,2,11,-1
0,8,1,0,2,10,-1
0,8,2,0,2,11,-1
1,9,2,0,3,11,-1
3,8,2,0,3,12,-1
1,9,2,0,2,12,-1
3,8,2,0,2,11,-1
1,9,2,0,2,10,-1
3,8,2,0,2,9,-1
1,9,2,0,1,9,-1
3,8,2,0,1,8,-1
1,9,2,0,2,8,-1
3,8,2,0,3,8,-1
1,9,2,0,4,8,-1
3,8,2,0,4,7,-1
1,9,2,0,4,8,-1
3,8,2,0,4,7,-1
2,8,1,0,4,8,-1
1,9,1,0,3,8,-1
3,8,1,0,3,9,-1
0,8,2,0,4,9,-1
1,9,2,0,5,9,-1
2,9,1,0,4,9,-1
0,9,2,0,5,9,-1
3,8,2,0,5,10,-1
1,9,2,0,4,10,-1
3,8,2,0,5,10,-1
1,9,2,0,6,10,-1
3,8,2,0,6,9,-1
1,9,2,0,7,9,-1
3,8,2,0,6,9,-1
1,9,2,0,7,9,-1
3,8,2,0,7,8,-1
1,9,2,0,6,8,-1
3,8,2,0,6,9,-1
1,9,2,0,6,8,-1
2,9,1,0,5,8,-1
0,9,2,0,6,8,-1
3,8,2,0,7,8,-1
1,9,2,0,7,9,-1
3,8,2,0,8,9,-1
1,9,2,0,8,10,-1
3,8,2,0,7,10,-1
1,9,2,0,7,9,-1
3,8,2,0,7,10,-1
1,9,2,0,6,10,-1
3,8,2,0,6,9,-1
1,9,2,0,5,9,-1
2,9,1,0,5,8,-1
0,9,2,0,5,7,-1
2,9,1,0,4,7,-1
0,9,2,0,4,6,-1
3,8,2,0,4,5,-1
1,9,2,0,3,5,-1
3,8,2,0,4,5,-1
2,8,1,1,3,6,-1
1,9,1,1,3,5,-1
1,10,1,0,5,5,-1
1,11,1,0,5,4,-1
0,11,2,0,5,3,-1
0,11,3,0,6,3,-1
1,12,3,0,5,3,-1
3,11,3,0,6,3,-1
0,11,4,0,6,2,-1
0,11,5,0,6,3,-1
3,10,5,0,6,2,-1
0,10,6,0,7,2,-1
0,10,7,0,8,2,-1
3,9,7,0,8,1,-1
3,8,7,0,8,0,-1
0,8,8,0,8,1,-1
0,8,9,0,7,1,-1
3,7,9,0,8,1,-1
0,7,10,0,9,1,-1
0,7,11,0,8,1,-1
0,7,12,0,8,0,-1
0,7,13,0,9,0,-1
0,7,14,0,8,0,999
0,7,14,0,8,0,999
