Action,Agent X,Agent Y,Observation,Predator X,Predator Y,Reward
-1,7,0,-1,2,14,0
1,8,0,0,2,13,-1
1,9,0,0,2,12,-1
1,10,0,0,3,12,-1
3,9,0,0,4,12,-1
0,9,1,0,5,12,-1
2,9,0,0,5,11,-1
3,8,0,0,5,10,-1
0,8,1,0,4,10,-1
3,7,1,0,5,10,-1
3,6,1,0,5,9,-1
1,7,1,0,4,9,-1
0,7,2,0,4,8,-1
2,7,1,0,4,7,-1
0,7,2,0,5,7,-1
1,8,2,0,4,7,-1
1,9,2,0,3,7,-1
3,8,2,0,3,6,-1
1,9,2,0,4,6,-1
3,8,2,0,4,7,-1
3,7,2,1,3,7,-1
1,8,2,0,3,6,-1
1,9,2,0,4,6,-1
2,9,1,0,4,5,-1
1,10,1,0,5,5,-1
1,11,1,0,5,4,-1
0,11,2,0,5,3,-1
0,11,3,0,5,4,-1
2,11,2,0,6,4,-1
1,12,2,0,6,3,-1
0,12,3,0,6,2,-1
3,11,3,0,7,2,-1
0,11,4,0,6,2,-1
3,10,4,0,7,2,-1
0,10,5,0,8,2,-1
0,10,6,0,7,2,-1
0,10,7,0,6,2,-1
0,10,8,0,5,2,-1
0,10,9,0,5,3,-1
3,9,9,0,6,3,-1
0,9,10,0,6,2,-1
0,9,11,0,7,2,-1
3,8,11,0,8,2,-1
0,8,12,0,8,1,-1
1,9,12,0,7,1,-1
0,9,13,0,7,2,-1
0,9,14,0,8,2,-1
3,8,14,0,8,1,-1
1,9,14,0,7,1,-1
3,8,14,0,8,1,-1
2,8,13,0,9,1,-1
3,7,13,0,8,1,-1
2,7,12,0,7,1,-1
0,7,13,0,8,1,-1
2,7,12,0,8,2,-1
0,7,13,0,7,2,-1
0,7,14,0,6,2,999
0,7,14,0,6,2,999
