Action,Agent X,Agent Y,Predator X,Predator Y,Reward
-1,5,0,0,0,0
0,5,1,0,1,-1
2,5,0,0,2,-1
1,6,0,0,1,-1
0,6,1,0,0,-1
3,5,1,1,0,-1
3,4,1,1,1,-1
0,4,2,0,1,-1
2,4,1,1,1,-1
0,4,2,1,2,-1
2,4,1,0,2,-1
1,5,1,0,3,-1
1,6,1,0,2,-1
3,5,1,0,1,-1
3,4,1,0,2,-1
1,5,1,1,2,-1
1,6,1,1,3,-1
1,7,1,0,3,-1
2,7,0,1,3,-1
1,8,0,1,2,-1
1,9,0,0,2,-1
1,10,0,0,1,-1
0,10,1,1,1,-1
0,10,2,0,1,-1
0,10,3,0,0,-1
3,9,3,0,1,-1
2,9,2,0,2,-1
0,9,3,0,3,-1
0,9,4,0,4,-1
0,9,5,0,5,-1
3,8,5,0,6,-1
3,7,5,0,5,-1
0,7,6,0,4,-1
0,7,7,0,3,-1
3,6,7,1,3,-1
0,6,8,1,2,-1
1,7,8,1,3,-1
3,6,8,2,3,-1
0,6,9,3,3,-1
1,7,9,2,3,-1
3,6,9,3,3,-1
3,5,9,2,3,-1
0,5,10,3,3,999
0,5,10,3,3,999
