Action,Agent X,Agent Y,Observation,Predator X,Predator Y,Reward
-1,7,0,-1,14,1,0
0,7,1,0,14,2,-1
0,7,2,0,14,1,-1
3,6,2,0,13,1,-1
3,5,2,0,13,2,-1
3,4,2,0,13,1,-1
0,4,3,0,12,1,-1
3,3,3,0,11,1,-1
1,4,3,0,11,0,-1
3,3,3,0,12,0,-1
3,2,3,0,13,0,-1
3,1,3,0,12,0,-1
1,2,3,0,11,0,-1
1,3,3,1,10,0,-1
0,3,4,0,11,0,-1
0,3,5,0,10,0,-1
0,3,6,0,9,0,-1
0,3,7,0,10,0,-1
0,3,8,0,11,0,-1
0,3,9,0,10,0,-1
0,3,10,0,11,0,-1
1,4,10,0,11,1,-1
1,5,10,0,12,1,-1
0,5,11,0,11,1,-1
0,5,12,0,10,1,-1
1,6,12,0,10,0,-1
0,6,13,0,9,0,-1
2,6,12,0,10,0,-1
0,6,13,0,9,0,-1
0,6,14,1,8,0,-1
2,6,13,1,8,2,-1
0,6,14,1,8,4,-1
1,7,14,1,7,5,999
1,7,14,1,7,5,999
