Action,Agent X,Agent Y,Observation,Predator X,Predator Y,Reward
-1,7,0,-1,9,2,0
0,7,1,1,9,1,-1
0,7,2,1,8,1,-1
3,6,2,1,8,0,-1
0,6,3,1,7,1,-1
0,6,4,1,6,2,-1
1,7,4,0,6,1,-1
1,8,4,0,6,2,-1
1,9,4,0,6,3,-1
1,10,4,1,6,4,-1
0,10,5,1,8,4,-1
0,10,6,0,9,4,-1
1,11,6,1,10,5,-1
0,11,7,1,10,6,-1
0,11,8,1,10,5,-1
0,11,9,1,10,7,-1
0,11,10,1,10,6,-1
0,11,11,1,10,8,-1
1,12,11,1,11,9,-1
0,12,12,1,10,9,-1
0,12,13,1,11,9,-1
0,12,14,0,11,11,-1
3,11,14,0,12,11,-1
3,10,14,0,12,12,-1
2,10,13,0,12,13,-1
0,10,14,1,12,14,-1
3,9,14,1,10,14,-1
3,8,14,1,8,14,-101
3,8,14,1,8,14,-101
