Action,Agent X,Agent Y,Observation,Predator X,Predator Y,Reward
-1,7,0,-1,0,13,0
3,6,0,1,0,12,-1
3,5,0,1,0,10,-1
3,4,0,1,0,8,-1
1,5,0,0,0,7,-1
3,4,0,0,0,6,-1
0,4,1,0,0,7,-1
1,5,1,0,0,6,-1
0,5,2,0,0,5,-1
1,6,2,0,0,4,-1
0,6,3,0,0,5,-1
1,7,3,0,0,4,-1
0,7,4,0,0,5,-1
0,7,5,0,0,4,-1
2,7,4,0,0,5,-1
2,7,3,0,0,4,-1
2,7,2,0,0,5,-1
3,6,2,0,0,4,-1
0,6,3,0,0,5,-1
2,6,2,0,0,6,-1
3,5,2,0,0,5,-1
0,5,3,0,0,4,-1
2,5,2,0,0,5,-1
3,4,2,0,0,4,-1
0,4,3,0,0,5,-1
1,5,3,0,0,4,-1
3,4,3,0,0,5,-1
1,5,3,0,0,4,-1
3,4,3,0,0,5,-1
1,5,3,0,0,6,-1
0,5,4,1,2,6,-1
1,6,4,1,2,7,-1
1,7,4,1,3,7,-1
1,8,4,1,4,7,-1
1,9,4,1,5,7,-1
2,9,3,1,5,6,-1
1,10,3,1,4,5,-1
1,11,3,1,6,5,-1
1,12,3,1,8,5,-1
1,13,3,1,7,4,-1
2,13,2,1,9,4,-1
2,13,1,1,10,3,-1
2,13,0,1,10,2,-1
1,14,0,1,11,2,-1
3,13,0,1,12,1,-1
1,14,0,1,13,0,-1
0,14,1,1,14,1,-101
0,14,1,1,14,1,-101
