Action,Agent X,Agent Y,Observation,Predator X,Predator Y,Reward
-1,7,0,-1,12,14,0
0,7,1,0,13,14,-1
3,6,1,0,14,14,-1
3,5,1,1,13,14,-1
2,5,0,1,12,14,-1
3,4,0,1,12,13,-1
3,3,0,1,13,13,-1
3,2,0,1,14,13,-1
3,1,0,1,13,13,-1
3,0,0,1,12,13,-1
1,1,0,1,12,14,-1
3,0,0,1,12,13,-1
0,0,1,1,11,14,-1
2,0,0,1,11,12,-1
1,1,0,1,11,11,-1
3,0,0,1,11,10,-1
1,1,0,1,11,11,-1
3,0,0,1,10,11,-1
1,1,0,1,10,10,-1
0,1,1,1,11,10,-1
2,1,0,1,10,11,-1
3,0,0,1,9,10,-1
0,0,1,1,8,9,-1
2,0,0,1,8,8,-1
1,1,0,1,7,7,-1
3,0,0,1,6,8,-1
1,1,0,1,6,7,-1
3,0,0,1,5,6,-1
1,1,0,1,4,5,-1
3,0,0,1,3,6,-1
1,1,0,1,3,4,-1
3,0,0,1,4,4,-1
0,0,1,1,3,4,-1
2,0,0,1,4,3,-1
0,0,1,1,4,1,-1
0,0,2,1,5,1,-1
0,0,3,1,5,0,-1
0,0,4,1,3,0,-1
0,0,5,1,4,1,-1
0,0,6,1,3,2,-1
0,0,7,1,3,3,-1
0,0,8,1,3,4,-1
0,0,9,1,3,6,-1
0,0,10,1,2,7,-1
1,1,10,1,2,8,-1
1,2,10,1,3,9,-1
0,2,11,1,2,10,-1
0,2,12,1,2,12,-101
0,2,12,1,2,12,-101
