Action,Agent X,Agent Y,Observation,Predator X,Predator Y,Reward
-1,7,0,-1,11,4,0
3,6,0,0,11,5,-1
3,5,0,0,11,6,-1
1,6,0,0,12,6,-1
0,6,1,0,11,6,-1
0,6,2,1,11,7,-1
3,5,2,1,10,6,-1
3,4,2,0,11,5,-1
1,5,2,0,11,6,-1
2,5,1,1,10,6,-1
3,4,1,0,11,5,-1
0,4,2,0,11,6,-1
1,5,2,1,10,6,-1
3,4,2,0,11,5,-1
2,4,1,0,11,6,-1
0,4,2,0,10,6,-1
2,4,1,0,11,5,-1
1,5,1,0,11,6,-1
1,6,1,0,10,6,-1
1,7,1,0,11,6,-1
2,7,0,0,11,5,-1
3,6,0,0,12,5,-1
0,6,1,0,11,5,-1
1,7,1,0,12,5,-1
1,8,1,0,11,5,-1
2,8,0,0,12,5,-1
0,8,1,0,11,5,-1
2,8,0,0,12,5,-1
3,7,0,0,13,5,-1
1,8,0,0,12,5,-1
1,9,0,0,11,5,-1
1,10,0,0,11,6,-1
3,9,0,0,11,5,-1
1,10,0,0,11,6,-1
3,9,0,0,11,5,-1
0,9,1,0,12,5,-1
2,9,0,0,11,5,-1
1,10,0,0,12,5,-1
1,11,0,0,11,5,-1
1,12,0,1,12,5,-1
1,13,0,0,11,6,-1
1,14,0,1,12,5,-1
0,14,1,1,12,3,-1
2,14,0,0,12,2,-1
0,14,1,0,13,3,-1
2,14,0,0,14,4,-1
0,14,1,0,13,4,-1
2,14,0,1,13,3,-1
0,14,1,1,12,2,-1
2,14,0,1,13,3,-1
0,14,1,1,12,2,-1
2,14,0,1,13,2,-1
0,14,1,1,12,2,-1
2,14,0,1,13,3,-1
0,14,1,1,13,2,-1
2,14,0,0,12,1,-1
0,14,1,1,12,0,-1
2,14,0,1,14,0,-101
2,14,0,1,14,0,-101
