Action,Agent X,Agent Y,Observation,Predator X,Predator Y,Reward
-1,7,0,-1,0,0,0
1,8,0,1,1,0,-1
1,9,0,1,2,0,-1
0,9,1,1,4,0,-1
0,9,2,1,5,0,-1
0,9,3,1,4,0,-1
0,9,4,0,5,0,-1
3,8,4,0,6,0,-1
0,8,5,0,7,0,-1
3,7,5,0,8,0,-1
0,7,6,0,9,0,-1
3,6,6,0,9,1,-1
3,5,6,0,9,2,-1
3,4,6,0,9,3,-1
3,3,6,0,9,2,-1
2,3,5,0,9,3,-1
2,3,4,0,10,3,-1
3,2,4,0,10,2,-1
3,1,4,0,10,3,-1
0,1,5,0,11,3,-1
3,0,5,0,11,2,-1
0,0,6,0,12,2,-1
1,1,6,0,11,2,-1
3,0,6,0,11,3,-1
2,0,5,0,10,3,-1
0,0,6,0,10,2,-1
1,1,6,0,10,1,-1
1,2,6,0,10,0,-1
1,3,6,0,9,0,-1
0,3,7,0,10,0,-1
0,3,8,0,10,1,-1
0,3,9,1,11,1,-1
2,3,8,1,12,1,-1
0,3,9,0,11,0,-1
0,3,10,0,11,1,-1
0,3,11,0,11,2,-1
0,3,12,0,10,2,-1
1,4,12,0,10,1,-1
3,3,12,0,10,0,-1
0,3,13,0,9,0,-1
1,4,13,0,9,1,-1
3,3,13,0,9,2,-1
1,4,13,0,8,2,-1
3,3,13,0,7,2,-1
3,2,13,0,6,2,-1
1,3,13,0,5,2,-1
0,3,14,0,5,3,-1
1,4,14,0,4,3,-1
1,5,14,0,3,3,-1
1,6,14,0,3,4,-1
1,7,14,0,2,4,999
1,7,14,0,2,4,999
