Action,Agent X,Agent Y,Observation,Predator X,Predator Y,Reward
-1,7,0,-1,0,0,0
3,6,0,0,0,1,-1
0,6,1,0,1,1,-1
0,6,2,1,1,0,-1
0,6,3,1,2,0,-1
0,6,4,0,1,1,-1
1,7,4,0,1,0,-1
1,8,4,0,0,0,-1
3,7,4,0,1,0,-1
0,7,5,1,2,0,-1
2,7,4,0,1,0,-1
0,7,5,1,2,0,-1
2,7,4,0,1,0,-1
0,7,5,1,2,0,-1
2,7,4,0,1,1,-1
0,7,5,0,1,0,-1
2,7,4,1,2,0,-1
0,7,5,0,1,0,-1
0,7,6,0,1,1,-1
0,7,7,0,1,0,-1
1,8,7,0,0,0,-1
0,8,8,0,1,0,-1
2,8,7,0,2,0,-1
0,8,8,0,1,0,-1
2,8,7,0,2,0,-1
0,8,8,0,1,0,-1
0,8,9,0,1,1,-1
0,8,10,0,1,0,-1
0,8,11,0,2,0,-1
0,8,12,0,1,0,-1
0,8,13,0,2,0,-1
2,8,12,0,1,0,-1
1,9,12,0,2,0,-1
0,9,13,0,1,0,-1
2,9,12,0,2,0,-1
0,9,13,0,1,0,-1
2,9,12,0,2,0,-1
1,10,12,0,1,0,-1
0,10,13,0,2,0,-1
3,9,13,0,1,0,-1
0,9,14,0,0,0,-1
2,9,13,0,1,0,-1
0,9,14,0,1,1,-1
2,9,13,0,1,0,-1
0,9,14,0,2,0,-1
2,9,13,0,1,0,-1
0,9,14,0,2,0,-1
2,9,13,0,1,0,-1
3,8,13,0,2,0,-1
1,9,13,0,1,0,-1
2,9,12,0,2,0,-1
3,8,12,0,1,0,-1
0,8,13,0,2,0,-1
1,9,13,0,1,0,-1
3,8,13,0,2,0,-1
1,9,13,0,1,0,-1
3,8,13,0,2,0,-1
1,9,13,0,1,0,-1
1,10,13,0,2,0,-1
0,10,14,0,1,0,-1
3,9,14,0,2,0,-1
1,10,14,0,1,0,-1
3,9,14,0,2,0,-1
1,10,14,0,1,0,-1
2,10,13,0,2,0,-1
3,9,13,0,1,0,-1
2,8,13,0,2,0,-1
0,8,14,0,1,0,-1
3,7,14,0,1,1,999
3,7,14,0,1,1,999
