Action,Agent X,Agent Y,Observation,Predator X,Predator Y,Reward
-1,7,0,-1,2,13,0
1,8,0,1,2,12,-1
1,9,0,1,2,11,-1
1,10,0,0,3,12,-1
1,11,0,0,3,11,-1
3,10,0,1,3,10,-1
3,9,0,1,3,9,-1
1,10,0,1,2,9,-1
1,11,0,0,2,8,-1
1,12,0,0,2,6,-1
3,11,0,0,2,7,-1
1,12,0,0,3,7,-1
3,11,0,1,4,7,-1
3,10,0,0,4,6,-1
3,9,0,0,4,5,-1
1,10,0,0,4,6,-1
0,10,1,1,5,6,-1
0,10,2,0,6,6,-1
2,10,1,1,6,5,-1
1,11,1,0,6,6,-1
1,12,1,0,7,6,-1
2,12,0,0,7,5,-1
1,13,0,1,7,4,-1
1,14,0,1,8,3,-1
0,14,1,1,9,3,-1
2,14,0,1,10,3,-1
3,13,0,1,9,2,-1
1,14,0,1,10,1,-1
0,14,1,1,11,1,-1
0,14,2,1,12,1,-1
0,14,3,1,13,2,-1
0,14,4,1,13,3,-1
0,14,5,1,13,4,-1
0,14,6,1,14,4,-1
0,14,7,1,14,6,-1
3,13,7,0,14,4,-1
0,13,8,1,14,5,-1
0,13,9,1,14,7,-1
3,12,9,1,13,7,-1
3,11,9,1,12,8,-1
0,11,10,1,13,8,-1
0,11,11,1,12,9,-1
3,10,11,1,11,9,-1
0,10,12,1,11,11,-1
0,10,13,1,11,12,-1
0,10,14,1,12,12,-1
3,9,14,1,11,12,-1
3,8,14,1,10,12,-1
3,7,14,1,8,12,999
3,7,14,1,8,12,999
