Action,Agent X,Agent Y,Observation,Predator X,Predator Y,Reward
-1,7,0,-1,14,12,0
1,8,0,0,14,13,-1
1,9,0,0,13,13,-1
1,10,0,0,12,13,-1
3,9,0,0,11,13,-1
0,9,1,0,11,14,-1
0,9,2,0,10,14,-1
2,9,1,0,9,14,-1
3,8,1,0,8,14,-1
0,8,2,0,8,13,-1
0,8,3,0,8,12,-1
1,9,3,0,8,11,-1
3,8,3,0,9,11,-1
2,8,2,0,9,9,-1
1,9,2,0,9,8,-1
0,9,3,0,9,7,-1
2,9,2,0,10,7,-1
2,9,1,0,10,6,-1
2,9,0,0,10,5,-1
3,8,0,0,9,5,-1
0,8,1,1,8,5,-1
1,9,1,0,10,5,-1
0,9,2,0,9,5,-1
0,9,3,0,10,5,-1
3,8,3,1,9,5,-1
1,9,3,0,8,5,-1
1,10,3,0,8,4,-1
1,11,3,1,9,3,-1
0,11,4,1,10,3,-1
0,11,5,1,11,4,-1
0,11,6,1,11,5,-1
0,11,7,1,11,7,-101
0,11,7,1,11,7,-101
