Action,Agent X,Agent Y,Observation,Predator X,Predator Y,Reward
-1,7,0,-1,4,12,0
1,8,0,0,4,11,-1
1,9,0,0,3,11,-1
1,10,0,0,3,10,-1
1,11,0,0,2,10,-1
1,12,0,0,3,10,-1
0,12,1,0,2,10,-1
0,12,2,0,3,10,-1
3,11,2,0,3,11,-1
0,11,3,0,3,10,-1
1,12,3,0,3,11,-1
3,11,3,0,4,11,-1
1,12,3,0,3,11,-1
3,11,3,0,3,12,-1
0,11,4,0,3,11,-1
0,11,5,0,4,11,-1
0,11,6,0,3,11,-1
0,11,7,0,4,11,-1
0,11,8,0,4,12,-1
0,11,9,0,4,11,-1
2,11,8,0,3,11,-1
0,11,9,0,3,10,-1
0,11,10,0,3,11,-1
2,11,9,0,3,10,-1
0,11,10,0,2,10,-1
2,11,9,0,3,10,-1
3,10,9,0,3,11,-1
2,10,8,0,3,10,-1
1,11,8,0,3,11,-1
0,11,9,0,3,10,-1
1,12,9,0,2,10,-1
3,11,9,0,3,10,-1
0,11,10,0,3,11,-1
0,11,11,0,2,11,-1
3,10,11,0,1,11,-1
1,11,11,0,2,11,-1
2,11,10,0,2,12,-1
1,12,10,0,2,11,-1
3,11,10,0,3,11,-1
0,11,11,0,4,11,-1
1,12,11,0,3,11,-1
2,12,10,0,2,11,-1
0,12,11,0,3,11,-1
1,13,11,0,3,10,-1
3,12,11,0,3,11,-1
2,12,10,0,3,10,-1
3,11,10,0,3,11,-1
2,11,9,0,4,11,-1
3,10,9,0,3,11,-1
2,10,8,0,3,10,-1
0,10,9,0,2,10,-1
3,9,9,0,3,10,-1
1,10,9,0,2,10,-1
3,9,9,0,3,10,-1
2,9,8,0,3,11,-1
3,8,8,0,3,10,-1
1,9,8,0,2,10,-1
0,9,9,0,2,9,-1
1,10,9,0,2,10,-1
1,11,9,0,1,10,-1
0,11,10,0,2,10,-1
2,11,9,0,3,10,-1
3,10,9,0,3,11,-1
1,11,9,0,3,10,-1
2,11,8,0,3,11,-1
0,11,9,0,3,10,-1
3,10,9,0,3,11,-1
2,10,8,0,3,10,-1
0,10,9,0,2,10,-1
2,10,8,0,2,11,-1
3,9,8,0,3,11,-1
3,8,8,0,3,10,-1
3,7,8,0,3,11,-1
2,7,7,0,2,11,-1
1,8,7,0,2,10,-1
0,8,8,0,2,9,-1
1,9,8,0,2,10,-1
3,8,8,0,2,9,-1
1,9,8,0,2,8,-1
1,10,8,0,2,9,-1
3,9,8,0,2,8,-1
1,10,8,0,2,9,-1
0,10,9,0,2,10,-1
1,11,9,0,3,10,-1
3,10,9,0,3,11,-1
1,11,9,0,2,11,-1
0,11,10,0,1,11,-1
1,12,10,0,2,11,-1
3,11,10,0,2,10,-1
2,11,9,0,3,10,-1
0,11,10,0,3,11,-1
2,11,9,0,4,11,-1
0,11,10,0,3,11,-1
0,11,11,0,3,12,-1
1,12,11,0,4,12,-1
2,12,10,0,4,13,-1
0,12,11,0,5,13,-1
2,12,10,0,5,14,-1
0,12,11,1,4,14,-1
1,13,11,1,6,14,-1
1,14,11,1,7,14,-1
2,14,10,1,8,14,-1
0,14,11,1,9,14,-1
2,14,10,1,10,13,-1
2,14,9,1,11,13,-1
2,14,8,1,11,11,-1
2,14,7,1,10,11,-1
2,14,6,1,11,10,-1
2,14,5,1,11,9,-1
0,14,6,1,11,8,-1
2,14,5,1,10,7,-1
2,14,4,1,11,6,-1
2,14,3,1,12,5,-1
2,14,2,1,12,4,-1
2,14,1,1,12,3,-1
3,13,1,1,11,2,-1
2,13,0,1,11,3,-1
1,14,0,1,11,2,-1
3,13,0,1,11,3,-1
3,12,0,1,12,2,-1
3,11,0,1,12,1,-1
3,10,0,1,12,0,-1
3,9,0,1,11,0,-1
3,8,0,1,9,0,-1
0,8,1,1,8,0,-1
3,7,1,1,7,1,-101
3,7,1,1,7,1,-101
