Action,Agent X,Agent Y,Observation,Predator X,Predator Y,Reward
-1,7,0,-1,14,2,0
0,7,1,0,14,3,-1
2,7,0,0,13,3,-1
0,7,1,0,12,3,-1
1,8,1,0,12,4,-1
2,8,0,0,12,5,-1
0,8,1,0,11,5,-1
2,8,0,0,10,5,-1
0,8,1,0,10,6,-1
2,8,0,0,11,6,-1
0,8,1,0,11,5,-1
2,8,0,0,11,6,-1
3,7,0,0,11,7,-1
0,7,1,0,11,8,-1
2,7,0,0,10,8,-1
3,6,0,0,10,7,-1
1,7,0,0,9,7,-1
1,8,0,0,9,6,-1
0,8,1,0,9,7,-1
2,8,0,0,9,8,-1
3,7,0,0,8,8,-1
0,7,1,0,7,8,-1
1,8,1,0,8,8,-1
2,8,0,0,8,7,-1
3,7,0,0,8,8,-1
0,7,1,0,7,8,-1
3,6,1,0,8,8,-1
1,7,1,0,7,8,-1
1,8,1,0,7,9,-1
2,8,0,0,7,8,-1
0,8,1,0,7,9,-1
3,7,1,0,7,8,-1
1,8,1,0,7,9,-1
2,8,0,0,7,8,-1
0,8,1,0,7,9,-1
2,8,0,0,6,9,-1
0,8,1,0,6,8,-1
3,7,1,0,7,8,-1
1,8,1,0,8,8,-1
3,7,1,0,7,8,-1
3,6,1,0,7,7,-1
1,7,1,0,7,6,-1
2,7,0,0,7,7,-1
1,8,0,0,6,7,-1
0,8,1,0,5,7,-1
2,8,0,0,4,7,-1
0,8,1,0,4,8,-1
3,7,1,0,5,8,-1
2,7,0,0,4,8,-1
0,7,1,0,3,8,-1
1,8,1,0,2,8,-1
3,7,1,0,3,8,-1
3,6,1,0,3,9,-1
1,7,1,0,3,10,-1
1,8,1,0,3,9,-1
3,7,1,0,4,9,-1
1,8,1,0,5,9,-1
3,7,1,0,5,8,-1
1,8,1,0,6,8,-1
3,7,1,0,6,9,-1
2,7,0,0,6,10,-1
1,8,0,0,7,10,-1
0,8,1,0,6,10,-1
3,7,1,0,5,10,-1
1,8,1,0,6,10,-1
3,7,1,0,5,10,-1
2,7,0,0,5,11,-1
3,6,0,0,6,11,-1
1,7,0,0,6,10,-1
0,7,1,0,6,9,-1
1,8,1,0,6,10,-1
2,8,0,0,6,9,-1
0,8,1,0,6,8,-1
3,7,1,0,6,9,-1
1,8,1,0,6,8,-1
3,7,1,0,6,9,-1
2,7,0,0,6,10,-1
1,8,0,0,7,10,-1
3,7,0,0,7,11,-1
0,7,1,0,7,12,-1
3,6,1,0,7,11,-1
2,6,0,0,7,10,-1
1,7,0,0,6,10,-1
1,8,0,0,6,11,-1
0,8,1,0,5,11,-1
3,7,1,0,5,10,-1
2,7,0,0,4,10,-1
0,7,1,0,4,9,-1
3,6,1,0,5,9,-1
2,6,0,0,5,8,-1
1,7,0,0,5,7,-1
3,6,0,1,4,7,-1
3,5,0,1,4,6,-1
3,4,0,1,4,4,-1
3,3,0,1,4,3,-1
0,3,1,1,4,1,-1
3,2,1,1,3,1,-1
3,1,1,1,1,1,-101
3,1,1,1,1,1,-101
