Action,Agent X,Agent Y,Observation,Predator X,Predator Y,Reward
-1,7,0,-1,14,7,0
3,6,0,0,14,8,-1
3,5,0,0,13,8,-1
1,6,0,0,13,9,-1
0,6,1,0,12,9,-1
0,6,2,1,12,8,-1
0,6,3,0,11,7,-1
2,6,2,1,10,7,-1
0,6,3,0,9,6,-1
1,7,3,1,9,5,-1
3,6,3,1,8,4,-1
1,7,3,0,9,4,-1
3,6,3,0,8,5,-1
0,6,4,0,9,5,-1
0,6,5,0,8,5,-1
2,6,4,0,8,4,-1
0,6,5,0,9,4,-1
2,6,4,0,9,3,-1
2,6,3,0,9,2,-1
3,5,3,0,10,2,-1
3,4,3,0,9,2,-1
0,4,4,0,9,3,-1
0,4,5,0,9,2,-1
0,4,6,0,9,3,-1
1,5,6,0,9,2,-1
0,5,7,0,9,3,-1
0,5,8,0,9,2,-1
0,5,9,0,9,3,-1
2,5,8,1,9,4,-1
0,5,9,0,8,5,-1
1,6,9,0,7,6,-1
0,6,10,0,6,6,-1
0,6,11,1,5,6,-1
1,7,11,1,5,7,-1
0,7,12,1,5,8,-1
1,8,12,1,5,9,-1
3,7,12,1,5,10,-1
3,6,12,1,6,11,-1
0,6,13,1,6,13,-101
0,6,13,1,6,13,-101
