Action,Agent X,Agent Y,Observation,Predator X,Predator Y,Reward
-1,7,0,-1,14,7,0
3,6,0,0,14,8,-1
1,7,0,0,13,8,-1
3,6,0,0,12,8,-1
3,5,0,1,11,8,-1
0,5,1,0,10,7,-1
0,5,2,0,10,6,-1
1,6,2,0,9,6,-1
3,5,2,0,8,6,-1
0,5,3,0,8,5,-1
3,4,3,0,8,4,-1
1,5,3,1,9,4,-1
1,6,3,0,9,3,-1
2,6,2,0,9,2,-1
0,6,3,0,9,3,-1
3,5,3,0,9,2,-1
2,5,2,0,9,1,-1
0,5,3,0,8,1,-1
2,5,2,1,7,1,-1
0,5,3,1,6,1,-1
3,4,3,1,5,2,-1
0,4,4,1,5,3,-1
0,4,5,1,4,4,-1
0,4,6,1,4,3,-1
1,5,6,1,4,5,-1
0,5,7,1,4,6,-1
0,5,8,1,4,7,-1
0,5,9,1,5,8,-1
1,6,9,1,5,9,-1
0,6,10,1,6,10,-101
0,6,10,1,6,10,-101
