Action,Agent X,Agent Y,Observation,Predator X,Predator Y,Reward
-1,7,0,-1,0,0,0
1,8,0,1,2,0,-1
0,8,1,1,3,0,-1
0,8,2,1,4,0,-1
1,9,2,1,5,0,-1
1,10,2,0,7,0,-1
1,11,2,0,8,0,-1
0,11,3,1,8,1,-1
0,11,4,0,8,2,-1
1,12,4,0,9,2,-1
0,12,5,0,9,3,-1
1,13,5,0,8,3,-1
1,14,5,0,9,3,-1
0,14,6,0,9,2,-1
0,14,7,0,10,2,-1
0,14,8,0,11,2,-1
0,14,9,0,12,2,-1
0,14,10,0,11,2,-1
3,13,10,0,11,1,-1
3,12,10,0,12,1,-1
0,12,11,0,13,1,-1
3,11,11,0,14,1,-1
3,10,11,0,14,2,-1
0,10,12,0,13,2,-1
0,10,13,0,14,2,-1
3,9,13,0,13,2,-1
3,8,13,0,13,3,-1
3,7,13,0,13,2,-1
0,7,14,0,12,2,999
0,7,14,0,12,2,999
