Action,Agent X,Agent Y,Observation,Predator X,Predator Y,Reward
-1,7,0,-1,0,0,0
1,8,0,1,1,0,-1
0,8,1,1,2,0,-1
0,8,2,1,3,0,-1
1,9,2,1,5,0,-1
1,10,2,0,6,0,-1
1,11,2,0,7,0,-1
1,12,2,0,8,0,-1
1,13,2,0,9,0,-1
0,13,3,0,8,0,-1
0,13,4,0,9,0,-1
0,13,5,0,8,0,-1
1,14,5,0,9,0,-1
0,14,6,0,8,0,-1
0,14,7,0,9,0,-1
0,14,8,0,8,0,-1
0,14,9,0,9,0,-1
0,14,10,0,8,0,-1
0,14,11,0,9,0,-1
0,14,12,0,8,0,-1
3,13,12,0,9,0,-1
3,12,12,0,8,0,-1
0,12,13,0,8,1,-1
0,12,14,0,8,2,-1
3,11,14,0,9,2,-1
3,10,14,0,8,2,-1
3,9,14,1,8,4,-1
3,8,14,1,8,6,-1
3,7,14,1,7,7,999
3,7,14,1,7,7,999
