Action,Agent X,Agent Y,Observation,Predator X,Predator Y,Reward
-1,7,0,-1,0,0,0
1,8,0,1,0,1,-1
0,8,1,1,0,0,-1
0,8,2,1,1,0,-1
1,9,2,1,3,0,-1
1,10,2,1,4,1,-1
1,11,2,0,5,0,-1
0,11,3,1,6,0,-1
0,11,4,0,7,0,-1
1,12,4,0,8,0,-1
0,12,5,0,9,0,-1
1,13,5,0,8,0,-1
1,14,5,1,8,1,-1
0,14,6,0,8,2,-1
0,14,7,0,8,3,-1
0,14,8,0,9,3,-1
0,14,9,0,9,2,-1
0,14,10,0,10,2,-1
0,14,11,0,11,2,-1
3,13,11,0,12,2,-1
0,13,12,0,11,2,-1
0,13,13,0,12,2,-1
3,12,13,0,12,1,-1
0,12,14,0,12,2,-1
1,13,14,0,12,3,-1
2,13,13,0,13,3,-1
0,13,14,0,13,2,-1
3,12,14,0,13,1,-1
1,13,14,0,14,1,-1
3,12,14,0,14,2,-1
3,11,14,0,13,2,-1
3,10,14,0,14,2,-1
3,9,14,0,14,3,-1
3,8,14,0,13,3,-1
3,7,14,0,14,3,999
3,7,14,0,14,3,999
