Action,Agent X,Agent Y,Observation,Predator X,Predator Y,Reward
-1,7,0,-1,0,0,0
1,8,0,1,1,0,-1
1,9,0,1,2,0,-1
1,10,0,1,3,0,-1
1,11,0,1,4,0,-1
1,12,0,1,6,0,-1
1,13,0,1,8,0,-1
1,14,0,1,7,0,-1
0,14,1,1,8,0,-1
0,14,2,1,9,0,-1
0,14,3,1,10,0,-1
0,14,4,1,11,0,-1
0,14,5,1,11,2,-1
0,14,6,1,11,3,-1
0,14,7,0,11,4,-1
0,14,8,0,11,5,-1
2,14,7,0,11,6,-1
2,14,6,0,12,6,-1
0,14,7,0,11,6,-1
2,14,6,0,12,6,-1
0,14,7,0,12,5,-1
0,14,8,0,13,5,-1
3,13,8,0,14,5,-1
3,12,8,0,14,4,-1
0,12,9,0,13,4,-1
0,12,10,0,13,3,-1
0,12,11,0,13,4,-1
0,12,12,0,14,4,-1
3,11,12,0,13,4,-1
0,11,13,0,13,5,-1
3,10,13,1,13,4,-1
3,9,13,0,13,5,-1
3,8,13,1,12,6,-1
3,7,13,1,12,5,-1
0,7,14,1,12,6,999
0,7,14,1,12,6,999
