Action,Agent X,Agent Y,Observation,Predator X,Predator Y,Reward
-1,7,0,-1,6,14,0
1,8,0,0,6,13,-1
0,8,1,0,6,12,-1
2,8,0,0,6,13,-1
0,8,1,0,6,14,-1
3,7,1,0,6,13,-1
1,8,1,0,7,13,-1
0,8,2,0,6,13,-1
1,9,2,0,5,13,-1
3,8,2,0,6,13,-1
1,9,2,0,6,12,-1
3,8,2,0,6,11,-1
2,8,1,0,5,11,-1
3,7,1,0,5,10,-1
3,6,1,0,5,9,-1
3,5,1,0,6,9,-1
1,6,1,0,5,9,-1
3,5,1,0,6,9,-1
0,5,2,0,5,9,-1
2,5,1,0,6,9,-1
0,5,2,0,5,9,-1
3,4,2,1,4,9,-1
3,3,2,1,4,7,-1
3,2,2,0,4,6,-1
3,1,2,0,4,5,-1
0,1,3,0,3,5,-1
0,1,4,0,3,4,-1
3,0,4,0,3,3,-1
0,0,5,0,3,2,-1
2,0,4,1,2,2,-1
0,0,5,1,1,2,-1
0,0,6,1,1,3,-1
1,1,6,1,1,4,-1
1,2,6,1,1,6,-1
0,2,7,1,2,6,-1
1,3,7,1,2,7,-1
0,3,8,1,3,7,-1
1,4,8,1,4,8,-101
1,4,8,1,4,8,-101
