Action,Agent X,Agent Y,Observation,Predator X,Predator Y,Reward
-1,7,0,-1,8,14,0
3,6,0,0,7,14,-1
3,5,0,0,6,14,-1
0,5,1,1,7,14,-1
2,5,0,0,7,13,-1
1,6,0,0,6,13,-1
3,5,0,0,6,14,-1
0,5,1,0,6,13,-1
3,4,1,1,7,13,-1
3,3,1,0,7,14,-1
3,2,1,0,6,14,-1
3,1,1,0,5,14,-1
3,0,1,0,5,13,-1
0,0,2,0,5,14,-1
1,1,2,0,6,14,-1
3,0,2,0,5,14,-1
0,0,3,0,5,13,-1
2,0,2,0,5,14,-1
0,0,3,0,6,14,-1
0,0,4,0,5,14,-1
0,0,5,0,4,14,-1
1,1,5,0,5,14,-1
3,0,5,0,5,13,-1
1,1,5,0,6,13,-1
3,0,5,0,6,14,-1
1,1,5,0,6,13,-1
3,0,5,0,6,14,-1
0,0,6,0,7,14,-1
0,0,7,0,7,13,-1
2,0,6,1,7,12,-1
2,0,5,0,8,12,-1
0,0,6,0,8,11,-1
0,0,7,1,7,11,-1
1,1,7,1,6,11,-1
2,1,6,1,5,10,-1
2,1,5,1,4,11,-1
2,1,4,1,4,10,-1
2,1,3,1,4,9,-1
2,1,2,1,4,7,-1
2,1,1,1,3,6,-1
2,1,0,1,3,5,-1
3,0,0,1,3,4,-1
1,1,0,1,3,2,-1
3,0,0,1,1,2,-1
0,0,1,1,0,2,-1
1,1,1,1,1,1,-101
1,1,1,1,1,1,-101
