Action,Agent X,Agent Y,Observation,Predator X,Predator Y,Reward
-1,7,0,-1,8,14,0
3,6,0,1,9,14,-1
3,5,0,0,8,14,-1
0,5,1,1,7,14,-1
2,5,0,0,6,14,-1
1,6,0,0,5,14,-1
0,6,1,0,4,14,-1
2,6,0,0,5,14,-1
3,5,0,0,5,13,-1
0,5,1,0,5,14,-1
3,4,1,0,4,14,-1
3,3,1,0,5,14,-1
3,2,1,0,4,14,-1
3,1,1,0,5,14,-1
3,0,1,0,4,14,-1
2,0,0,0,5,14,-1
1,1,0,0,6,14,-1
3,0,0,0,5,14,-1
1,1,0,0,4,14,-1
3,0,0,0,5,14,-1
1,1,0,0,5,13,-1
3,0,0,0,5,14,-1
1,1,0,0,5,13,-1
3,0,0,0,6,13,-1
1,1,0,0,7,13,-1
3,0,0,0,7,14,-1
1,1,0,0,7,13,-1
3,0,0,0,8,13,-1
1,1,0,0,8,14,-1
3,0,0,0,8,13,-1
1,1,0,1,8,12,-1
3,0,0,1,9,12,-1
1,1,0,1,9,10,-1
3,0,0,1,9,9,-1
1,1,0,1,9,8,-1
3,0,0,1,7,8,-1
1,1,0,1,7,7,-1
3,0,0,1,6,6,-1
0,0,1,1,6,5,-1
2,0,0,0,7,5,-1
1,1,0,1,6,5,-1
3,0,0,1,4,5,-1
1,1,0,1,4,3,-1
3,0,0,1,3,3,-1
1,1,0,1,2,3,-1
3,0,0,1,1,2,-1
0,0,1,1,0,1,-101
0,0,1,1,0,1,-101
