Action,Agent X,Agent Y,Observation,Predator X,Predator Y,Reward
-1,7,0,-1,3,9,0
1,8,0,1,3,8,-1
1,9,0,1,3,7,-1
1,10,0,1,3,6,-1
1,11,0,1,4,6,-1
1,12,0,1,5,6,-1
1,13,0,1,6,6,-1
1,14,0,1,8,6,-1
0,14,1,1,9,5,-1
2,14,0,1,10,4,-1
3,13,0,1,10,3,-1
1,14,0,1,11,3,-1
3,13,0,1,11,2,-1
1,14,0,1,12,2,-1
0,14,1,1,13,1,-1
0,14,2,1,12,2,-1
0,14,3,1,11,2,-1
0,14,4,1,12,2,-1
0,14,5,1,12,3,-1
0,14,6,1,13,4,-1
0,14,7,1,14,5,-1
0,14,8,1,14,6,-1
0,14,9,1,14,7,-1
3,13,9,1,14,8,-1
3,12,9,1,13,8,-1
3,11,9,1,12,8,-1
0,11,10,1,12,9,-1
3,10,10,1,11,9,-1
0,10,11,1,11,10,-1
0,10,12,1,10,11,-1
0,10,13,1,10,10,-1
3,9,13,1,10,12,-1
0,9,14,1,10,14,-1
3,8,14,1,8,14,-101
3,8,14,1,8,14,-101
