Action,Agent X,Agent Y,Observation,Predator X,Predator Y,Reward
-1,7,0,-1,14,7,0
0,7,1,0,13,7,-1
0,7,2,1,14,8,-1
0,7,3,0,14,9,-1
0,7,4,0,14,10,-1
0,7,5,0,14,9,-1
2,7,4,0,14,8,-1
0,7,5,0,14,9,-1
0,7,6,0,14,8,-1
3,6,6,0,13,8,-1
0,6,7,0,13,7,-1
3,5,7,0,13,8,-1
2,5,6,0,13,7,-1
0,5,7,0,13,8,-1
0,5,8,0,14,8,-1
1,6,8,0,13,8,-1
3,5,8,0,13,7,-1
1,6,8,0,13,8,-1
2,6,7,0,13,7,-1
0,6,8,0,13,8,-1
2,6,7,0,13,7,-1
0,6,8,0,13,8,-1
2,6,7,0,13,7,-1
0,6,8,0,13,8,-1
2,6,7,0,13,7,-1
0,6,8,0,13,8,-1
1,7,8,0,13,7,-1
0,7,9,0,13,8,-1
1,8,9,0,13,7,-1
1,9,9,0,13,8,-1
3,8,9,0,13,7,-1
3,7,9,0,13,8,-1
0,7,10,0,13,7,-1
2,7,9,0,13,8,-1
1,8,9,0,13,7,-1
0,8,10,0,13,8,-1
2,8,9,0,13,7,-1
2,8,8,0,13,8,-1
0,8,9,0,14,8,-1
0,8,10,0,14,9,-1
1,9,10,1,14,8,-1
1,10,10,0,14,9,-1
0,10,11,0,14,10,-1
2,10,10,0,14,9,-1
3,9,10,0,14,10,-1
3,8,10,0,14,11,-1
3,7,10,0,13,11,-1
1,8,10,0,14,11,-1
1,9,10,0,14,10,-1
3,8,10,0,14,9,-1
3,7,10,0,14,8,-1
2,7,9,0,13,8,-1
1,8,9,0,13,7,-1
0,8,10,0,13,8,-1
3,7,10,0,13,7,-1
0,7,11,0,13,8,-1
3,6,11,0,13,7,-1
0,6,12,0,13,8,-1
2,6,11,0,13,7,-1
1,7,11,0,13,8,-1
3,6,11,0,13,7,-1
1,7,11,0,13,8,-1
3,6,11,0,13,7,-1
1,7,11,0,13,8,-1
3,6,11,0,13,7,-1
1,7,11,0,13,8,-1
2,7,10,0,13,7,-1
0,7,11,0,13,8,-1
3,6,11,0,13,7,-1
1,7,11,0,13,8,-1
3,6,11,0,13,7,-1
1,7,11,0,13,8,-1
2,7,10,0,13,7,-1
0,7,11,0,13,8,-1
2,7,10,0,13,7,-1
2,7,9,0,13,8,-1
0,7,10,0,13,7,-1
3,6,10,0,13,8,-1
0,6,11,0,13,7,-1
1,7,11,0,13,8,-1
3,6,11,0,13,7,-1
1,7,11,0,13,8,-1
3,6,11,0,13,7,-1
1,7,11,0,13,8,-1
3,6,11,0,13,7,-1
1,7,11,0,13,8,-1
3,6,11,0,13,7,-1
1,7,11,0,13,8,-1
2,7,10,0,13,7,-1
0,7,11,0,13,8,-1
3,6,11,0,13,7,-1
1,7,11,0,13,8,-1
3,6,11,1,14,8,-1
1,7,11,0,13,7,-1
3,6,11,0,13,8,-1
0,6,12,0,13,7,-1
3,5,12,0,13,8,-1
1,6,12,0,13,7,-1
2,6,11,0,13,8,-1
0,6,12,0,14,8,-1
0,6,13,0,13,8,-1
2,6,12,0,13,7,-1
0,6,13,0,13,8,-1
2,6,12,0,13,7,-1
0,6,13,0,13,8,-1
0,6,14,0,13,7,-1
2,6,13,0,13,8,-1
3,5,13,0,13,7,-1
0,5,14,0,13,8,-1
2,5,13,0,13,7,-1
2,5,12,0,13,8,-1
1,6,12,0,13,7,-1
2,6,11,0,13,8,-1
2,6,10,0,13,7,-1
0,6,11,0,13,8,-1
1,7,11,0,13,7,-1
3,6,11,0,13,8,-1
0,6,12,0,13,7,-1
3,5,12,0,13,8,-1
3,4,12,0,13,7,-1
1,5,12,0,13,8,-1
1,6,12,0,13,7,-1
2,6,11,0,13,8,-1
2,6,10,0,13,7,-1
3,5,10,0,13,8,-1
1,6,10,0,13,7,-1
0,6,11,0,13,8,-1
1,7,11,0,13,7,-1
3,6,11,0,13,8,-1
1,7,11,0,14,8,-1
3,6,11,0,14,10,-1
1,7,11,0,14,11,-1
3,6,11,0,13,11,-1
0,6,12,0,14,11,-1
2,6,11,0,13,11,-1
0,6,12,0,14,11,-1
2,6,11,0,13,11,-1
0,6,12,0,14,11,-1
2,6,11,0,13,11,-1
1,7,11,0,14,11,-1
3,6,11,0,13,11,-1
1,7,11,0,14,11,-1
3,6,11,0,13,11,-1
2,6,10,0,14,11,-1
0,6,11,0,13,11,-1
2,6,10,0,14,11,-1
0,6,11,0,13,11,-1
2,6,10,0,14,11,-1
1,7,10,0,14,10,-1
1,8,10,0,14,11,-1
3,7,10,0,13,11,-1
0,7,11,0,14,11,-1
3,6,11,0,13,11,-1
1,7,11,0,14,11,-1
3,6,11,0,14,10,-1
1,7,11,0,14,11,-1
3,6,11,0,14,10,-1
1,7,11,0,14,9,-1
3,6,11,0,14,10,-1
1,7,11,0,14,11,-1
2,7,10,0,13,11,-1
0,7,11,0,14,11,-1
3,6,11,0,14,10,-1
1,7,11,0,14,11,-1
3,6,11,0,13,11,-1
0,6,12,0,14,11,-1
0,6,13,0,13,11,-1
2,6,12,0,14,11,-1
0,6,13,0,13,11,-1
2,6,12,0,14,11,-1
2,6,11,0,13,11,-1
0,6,12,0,14,11,-1
3,5,12,0,13,11,-1
1,6,12,0,14,11,-1
0,6,13,0,13,11,-1
1,7,13,0,14,11,-1
3,6,13,0,13,11,-1
0,6,14,0,14,11,-1
1,7,14,0,13,11,999
1,7,14,0,13,11,999
