Action,Agent X,Agent Y,Observation,Predator X,Predator Y,Reward
-1,7,0,-1,1,8,0
3,6,0,0,1,9,-1
0,6,1,0,2,9,-1
3,5,1,0,2,8,-1
2,5,0,0,1,8,-1
0,5,1,0,1,7,-1
1,6,1,0,1,8,-1
0,6,2,0,0,8,-1
2,6,1,0,1,8,-1
0,6,2,0,2,8,-1
1,7,2,1,2,7,-1
1,8,2,1,3,6,-1
2,8,1,0,3,5,-1
0,8,2,1,4,5,-1
3,7,2,1,5,5,-1
1,8,2,1,5,4,-1
2,8,1,0,4,4,-1
3,7,1,0,4,3,-1
1,8,1,0,4,4,-1
2,8,0,0,4,3,-1
1,9,0,0,4,4,-1
1,10,0,0,4,3,-1
3,9,0,0,4,4,-1
3,8,0,0,4,3,-1
0,8,1,0,4,4,-1
3,7,1,0,4,3,-1
3,6,1,0,3,3,-1
0,6,2,0,4,3,-1
1,7,2,0,4,4,-1
0,7,3,1,5,4,-1
1,8,3,1,6,4,-1
2,8,2,1,6,3,-1
2,8,1,1,6,2,-1
2,8,0,1,7,1,-1
1,9,0,1,8,1,-1
1,10,0,1,7,2,-1
0,10,1,0,8,2,-1
3,9,1,1,8,1,-1
1,10,1,1,9,1,-1
1,11,1,1,11,1,-101
1,11,1,1,11,1,-101
