Action,Agent X,Agent Y,Observation,Predator X,Predator Y,Reward
-1,7,0,-1,13,14,0
1,8,0,0,14,14,-1
1,9,0,0,13,14,-1
1,10,0,0,13,13,-1
1,11,0,0,13,12,-1
0,11,1,0,13,11,-1
0,11,2,0,12,11,-1
1,12,2,0,12,12,-1
0,12,3,0,12,13,-1
3,11,3,0,13,13,-1
1,12,3,0,14,13,-1
3,11,3,0,14,12,-1
1,12,3,0,13,12,-1
0,12,4,0,13,11,-1
2,12,3,0,13,12,-1
0,12,4,0,13,11,-1
2,12,3,0,14,11,-1
3,11,3,0,13,11,-1
2,11,2,0,12,11,-1
0,11,3,0,13,11,-1
0,11,4,0,13,10,-1
0,11,5,0,14,10,-1
1,12,5,0,13,10,-1
3,11,5,0,12,10,-1
0,11,6,0,12,9,-1
1,12,6,0,12,10,-1
3,11,6,0,12,9,-1
1,12,6,0,12,10,-1
2,12,5,0,13,10,-1
0,12,6,0,12,10,-1
3,11,6,0,12,9,-1
1,12,6,0,12,8,-1
2,12,5,0,13,8,-1
0,12,6,0,13,9,-1
3,11,6,0,12,9,-1
1,12,6,0,12,8,-1
2,12,5,0,12,9,-1
0,12,6,0,12,10,-1
2,12,5,0,12,11,-1
0,12,6,0,12,10,-1
2,12,5,0,11,10,-1
0,12,6,0,10,10,-1
3,11,6,0,11,10,-1
1,12,6,0,11,9,-1
3,11,6,0,10,9,-1
2,11,5,0,9,9,-1
1,12,5,0,9,8,-1
2,12,4,0,9,7,-1
0,12,5,0,9,8,-1
3,11,5,0,8,8,-1
3,10,5,1,8,7,-1
2,10,4,1,8,5,-1
2,10,3,1,9,6,-1
2,10,2,1,8,5,-1
1,11,2,1,9,4,-1
2,11,1,1,9,3,-1
2,11,0,1,9,2,-1
0,11,1,1,10,3,-1
2,11,0,1,9,2,-1
0,11,1,1,10,2,-1
2,11,0,1,10,1,-1
0,11,1,1,11,1,-101
0,11,1,1,11,1,-101
