Action,Agent X,Agent Y,Observation,Predator X,Predator Y,Reward
-1,7,0,-1,0,0,0
1,8,0,1,2,0,-1
1,9,0,1,3,0,-1
1,10,0,1,5,0,-1
1,11,0,1,6,1,-1
1,12,0,1,8,1,-1
1,13,0,1,9,1,-1
1,14,0,1,11,1,-1
0,14,1,1,13,1,-1
0,14,2,1,12,2,-1
0,14,3,1,14,2,-1
0,14,4,1,14,3,-1
3,13,4,1,13,2,-1
0,13,5,1,13,3,-1
0,13,6,1,13,4,-1
3,12,6,1,13,5,-1
3,11,6,1,12,5,-1
3,10,6,1,11,5,-1
0,10,7,1,11,6,-1
3,9,7,1,10,6,-1
0,9,8,1,9,7,-1
0,9,9,1,9,8,-1
3,8,9,1,8,8,-1
3,7,9,1,7,8,-1
0,7,10,1,7,9,-1
0,7,11,1,6,8,-1
0,7,12,1,6,9,-1
0,7,13,1,6,10,-1
0,7,14,1,6,11,999
0,7,14,1,6,11,999
