Action,Agent X,Agent Y,Observation,Predator X,Predator Y,Reward
-1,7,0,-1,12,7,0
1,8,0,0,13,7,-1
1,9,0,0,13,8,-1
0,9,1,0,14,8,-1
0,9,2,0,13,8,-1
2,9,1,0,13,7,-1
0,9,2,0,14,7,-1
2,9,1,0,13,7,-1
0,9,2,0,13,8,-1
2,9,1,0,12,8,-1
1,10,1,0,12,7,-1
3,9,1,0,12,6,-1
0,9,2,0,13,6,-1
2,9,1,0,13,5,-1
0,9,2,0,14,5,-1
2,9,1,0,14,6,-1
0,9,2,0,14,7,-1
2,9,1,0,14,8,-1
0,9,2,0,14,7,-1
2,9,1,0,13,7,-1
1,10,1,0,12,7,-1
2,10,0,0,13,7,-1
0,10,1,0,13,8,-1
2,10,0,0,14,8,-1
0,10,1,0,14,7,-1
2,10,0,0,13,6,-1
3,9,0,0,12,4,-1
3,8,0,0,13,4,-1
1,9,0,1,13,3,-1
1,10,0,1,12,3,-1
3,9,0,1,12,2,-1
3,8,0,1,12,3,-1
1,9,0,1,11,2,-1
3,8,0,1,11,0,-1
3,7,0,1,13,0,-1
3,6,0,1,12,0,-1
3,5,0,1,10,0,-1
3,4,0,1,9,0,-1
3,3,0,1,7,0,-1
3,2,0,1,5,0,-1
3,1,0,1,4,0,-1
0,1,1,1,3,0,-1
0,1,2,1,2,1,-1
0,1,3,1,1,2,-1
0,1,4,1,1,3,-1
0,1,5,1,1,4,-1
0,1,6,1,0,5,-1
1,2,6,1,1,4,-1
1,3,6,1,2,5,-1
1,4,6,1,3,5,-1
0,4,7,1,3,6,-1
0,4,8,1,4,5,-1
0,4,9,1,4,7,-1
1,5,9,1,4,6,-1
0,5,10,1,4,8,-1
1,6,10,1,3,8,-1
0,6,11,1,4,9,-1
0,6,12,1,5,10,-1
0,6,13,1,5,11,-1
0,6,14,1,5,13,-1
1,7,14,1,6,13,999
1,7,14,1,6,13,999
