Action,Agent X,Agent Y,Observation,Predator X,Predator Y,Reward
-1,7,0,-1,0,14,0
1,8,0,1,0,13,-1
1,9,0,0,0,12,-1
1,10,0,0,1,12,-1
1,11,0,0,2,12,-1
1,12,0,0,1,12,-1
0,12,1,0,1,11,-1
0,12,2,0,1,12,-1
0,12,3,0,1,13,-1
3,11,3,0,1,12,-1
0,11,4,0,2,12,-1
0,11,5,0,1,12,-1
3,10,5,0,1,11,-1
0,10,6,0,1,12,-1
0,10,7,0,1,13,-1
1,11,7,0,2,13,-1
0,11,8,0,3,13,-1
1,12,8,0,3,12,-1
3,11,8,0,3,13,-1
2,11,7,0,2,13,-1
2,11,6,0,3,13,-1
0,11,7,0,4,13,-1
2,11,6,0,3,13,-1
3,10,6,0,3,14,-1
0,10,7,0,2,14,-1
0,10,8,0,2,13,-1
1,11,8,0,1,13,-1
2,11,7,0,0,13,-1
0,11,8,0,0,12,-1
3,10,8,0,0,13,-1
0,10,9,0,1,13,-1
3,9,9,0,2,13,-1
3,8,9,0,2,12,-1
0,8,10,0,2,13,-1
0,8,11,0,2,12,-1
0,8,12,1,3,12,-1
0,8,13,1,4,12,-1
3,7,13,1,6,12,-1
0,7,14,1,6,11,999
0,7,14,1,6,11,999
