Action,Agent X,Agent Y,Observation,Predator X,Predator Y,Reward
-1,7,0,-1,2,14,0
1,8,0,1,2,12,-1
1,9,0,1,2,11,-1
1,10,0,1,0,11,-1
1,11,0,1,0,10,-1
1,12,0,1,0,8,-1
1,13,0,1,0,7,-1
1,14,0,1,1,7,-1
0,14,1,1,3,7,-1
2,14,0,1,4,7,-1
3,13,0,1,5,7,-1
1,14,0,1,6,7,-1
0,14,1,1,8,7,-1
2,14,0,1,8,6,-1
3,13,0,1,8,7,-1
1,14,0,1,8,5,-1
0,14,1,1,9,5,-1
2,14,0,1,9,4,-1
0,14,1,1,11,4,-1
2,14,0,1,11,2,-1
0,14,1,1,13,2,-1
2,14,0,1,13,0,-1
0,14,1,1,12,0,-1
0,14,2,1,13,1,-1
0,14,3,1,14,1,-1
0,14,4,1,14,2,-1
0,14,5,1,14,3,-1
0,14,6,1,14,4,-1
0,14,7,1,14,6,-1
3,13,7,1,12,6,-1
0,13,8,1,13,5,-1
0,13,9,1,12,6,-1
0,13,10,1,12,8,-1
0,13,11,1,13,9,-1
3,12,11,1,13,10,-1
0,12,12,1,13,11,-1
3,11,12,1,12,11,-1
0,11,13,1,12,13,-1
3,10,13,1,11,14,-1
3,9,13,1,10,14,-1
3,8,13,1,8,14,-1
3,7,13,1,7,14,-1
0,7,14,1,7,14,999
0,7,14,1,7,14,999
