Action,Agent X,Agent Y,Observation,Predator X,Predator Y,Reward
-1,7,0,-1,0,0,0
1,8,0,0,0,1,-1
0,8,1,0,0,0,-1
3,7,1,0,0,1,-1
2,7,0,0,0,0,-1
1,8,0,0,0,1,-1
0,8,1,0,0,0,-1
1,9,1,0,1,0,-1
1,10,1,0,2,0,-1
1,11,1,0,1,0,-1
3,10,1,0,2,0,-1
3,9,1,0,1,0,-1
3,8,1,0,0,0,-1
3,7,1,0,1,0,-1
3,6,1,0,1,1,-1
1,7,1,0,1,0,-1
1,8,1,0,2,0,-1
0,8,2,0,1,0,-1
2,8,1,0,0,0,-1
1,9,1,0,0,1,-1
1,10,1,0,1,1,-1
1,11,1,0,0,1,-1
0,11,2,0,1,1,-1
3,10,2,0,1,0,-1
0,10,3,0,2,0,-1
3,9,3,0,1,0,-1
0,9,4,0,1,1,-1
0,9,5,0,1,0,-1
1,10,5,0,0,0,-1
1,11,5,0,0,1,-1
1,12,5,0,1,1,-1
3,11,5,0,0,1,-1
3,10,5,0,1,1,-1
1,11,5,0,0,1,-1
1,12,5,0,1,1,-1
1,13,5,0,0,1,-1
1,14,5,0,1,1,-1
0,14,6,0,0,1,-1
2,14,5,0,0,0,-1
3,13,5,0,0,1,-1
0,13,6,0,0,0,-1
0,13,7,0,1,0,-1
1,14,7,0,2,0,-1
2,14,6,0,1,0,-1
0,14,7,0,1,1,-1
0,14,8,0,1,0,-1
2,14,7,0,1,1,-1
3,13,7,0,0,1,-1
2,13,6,0,1,1,-1
0,13,7,0,0,1,-1
1,14,7,0,1,1,-1
2,14,6,0,0,1,-1
3,13,6,0,0,0,-1
1,14,6,0,0,1,-1
0,14,7,0,1,1,-1
0,14,8,0,1,0,-1
2,14,7,0,1,1,-1
2,14,6,0,1,0,-1
2,14,5,0,2,0,-1
3,13,5,0,1,0,-1
0,13,6,0,1,1,-1
1,14,6,0,0,1,-1
3,13,6,0,1,1,-1
2,13,5,0,1,0,-1
3,12,5,0,1,1,-1
1,13,5,0,1,0,-1
0,13,6,0,2,0,-1
0,13,7,0,1,0,-1
2,13,6,0,2,0,-1
0,13,7,0,1,0,-1
2,13,6,0,2,0,-1
0,13,7,0,1,0,-1
2,13,6,0,1,1,-1
2,13,5,0,0,1,-1
3,12,5,0,1,1,-1
3,11,5,0,0,1,-1
3,10,5,0,1,1,-1
3,9,5,0,1,0,-1
3,8,5,0,0,0,-1
0,8,6,0,0,1,-1
3,7,6,0,1,1,-1
3,6,6,0,0,1,-1
3,5,6,0,1,1,-1
3,4,6,0,0,1,-1
3,3,6,0,1,0,-1
2,3,5,0,0,1,-1
3,2,5,0,1,1,-1
3,1,5,0,0,1,-1
3,0,5,0,0,0,-1
2,0,4,0,0,1,-1
2,0,3,0,1,0,-1
1,1,3,0,1,1,-1
1,2,3,0,0,1,-1
2,2,2,1,1,1,-1
1,3,2,1,0,1,-1
3,2,2,1,0,0,-1
0,2,3,0,0,1,-1
3,1,3,0,1,1,-1
3,0,3,0,0,0,-1
0,0,4,0,1,0,-1
0,0,5,0,0,1,-1
1,1,5,0,1,0,-1
1,2,5,0,0,1,-1
1,3,5,0,1,1,-1
2,3,4,0,0,1,-1
1,4,4,0,1,1,-1
0,4,5,0,0,1,-1
3,3,5,0,0,0,-1
3,2,5,0,1,1,-1
3,1,5,0,0,1,-1
3,0,5,0,1,1,-1
2,0,4,0,0,0,-1
2,0,3,0,0,1,-1
1,1,3,0,1,1,-1
1,2,3,1,1,0,-1
2,2,2,1,1,1,-1
1,3,2,0,0,0,-1
3,2,2,1,1,1,-1
0,2,3,0,0,1,-1
3,1,3,0,1,0,-1
3,0,3,0,0,1,-1
0,0,4,0,1,0,-1
0,0,5,0,1,1,-1
1,1,5,0,1,0,-1
1,2,5,0,1,1,-1
1,3,5,1,1,0,-1
1,4,5,1,1,1,-1
0,4,6,0,0,0,-1
0,4,7,0,1,1,-1
0,4,8,0,0,0,-1
0,4,9,0,1,1,-1
1,5,9,0,0,0,-1
0,5,10,0,1,1,-1
1,6,10,0,0,1,-1
1,7,10,0,0,0,-1
0,7,11,0,1,1,-1
0,7,12,0,0,1,-1
0,7,13,0,1,1,-1
0,7,14,0,0,1,999
0,7,14,0,0,1,999
