Action,Agent X,Agent Y,Observation,Predator X,Predator Y,Reward
-1,7,0,-1,7,11,0
1,8,0,1,7,9,-1
1,9,0,1,6,8,-1
1,10,0,1,6,6,-1
1,11,0,1,7,5,-1
1,12,0,1,7,6,-1
1,13,0,1,8,5,-1
1,14,0,1,8,6,-1
3,13,0,1,7,6,-1
1,14,0,1,8,6,-1
3,13,0,1,8,4,-1
1,14,0,1,10,4,-1
0,14,1,1,11,4,-1
2,14,0,1,11,2,-1
3,13,0,1,11,1,-1
1,14,0,1,11,0,-1
0,14,1,1,10,1,-1
0,14,2,1,11,1,-1
0,14,3,1,12,2,-1
0,14,4,1,13,3,-1
0,14,5,1,14,4,-1
0,14,6,1,14,3,-1
2,14,5,1,14,4,-1
0,14,6,1,14,5,-1
0,14,7,1,14,6,-1
0,14,8,1,14,5,-1
0,14,9,1,14,6,-1
0,14,10,1,14,7,-1
3,13,10,1,14,8,-1
3,12,10,1,13,8,-1
3,11,10,1,13,9,-1
3,10,10,1,12,9,-1
0,10,11,1,10,9,-1
3,9,11,1,11,9,-1
0,9,12,1,10,10,-1
3,8,12,1,9,11,-1
3,7,12,1,8,10,-1
0,7,13,1,9,11,-1
3,6,13,1,8,11,-1
3,5,13,0,7,11,-1
1,6,13,1,7,12,-1
0,6,14,1,6,13,-1
1,7,14,1,7,14,999
1,7,14,1,7,14,999
