Action,Agent X,Agent Y,Observation,Predator X,Predator Y,Reward
-1,7,0,-1,13,14,0
1,8,0,0,14,14,-1
3,7,0,0,14,13,-1
3,6,0,0,14,12,-1
3,5,0,1,13,12,-1
1,6,0,1,13,13,-1
1,7,0,1,13,14,-1
1,8,0,0,14,14,-1
3,7,0,1,13,14,-1
1,8,0,0,13,13,-1
3,7,0,1,12,13,-1
3,6,0,1,12,11,-1
1,7,0,0,12,10,-1
3,6,0,0,12,9,-1
3,5,0,1,11,9,-1
3,4,0,1,10,9,-1
3,3,0,1,10,7,-1
3,2,0,1,9,7,-1
3,1,0,1,7,7,-1
3,0,0,1,6,6,-1
1,1,0,1,5,5,-1
3,0,0,1,4,6,-1
1,1,0,1,3,5,-1
3,0,0,1,3,4,-1
0,0,1,1,3,2,-1
2,0,0,1,2,2,-1
0,0,1,1,2,3,-1
2,0,0,1,1,2,-1
1,1,0,1,1,0,-101
1,1,0,1,1,0,-101
