Action,Agent X,Agent Y,Observation,Predator X,Predator Y,Reward
-1,7,0,-1,3,6,0
1,8,0,1,3,5,-1
1,9,0,1,3,4,-1
1,10,0,1,3,3,-1
1,11,0,0,4,3,-1
1,12,0,0,3,3,-1
1,13,0,0,3,2,-1
1,14,0,0,4,2,-1
3,13,0,0,5,2,-1
3,12,0,0,4,2,-1
3,11,0,0,4,3,-1
0,11,1,0,4,4,-1
1,12,1,0,3,4,-1
3,11,1,0,4,4,-1
1,12,1,0,4,3,-1
3,11,1,0,4,2,-1
1,12,1,0,4,3,-1
3,11,1,0,3,3,-1
1,12,1,0,4,3,-1
3,11,1,0,5,3,-1
1,12,1,0,5,2,-1
3,11,1,0,5,1,-1
1,12,1,0,5,0,-1
3,11,1,0,4,0,-1
1,12,1,0,3,0,-1
3,11,1,0,2,0,-1
1,12,1,0,3,0,-1
3,11,1,0,4,0,-1
1,12,1,0,3,0,-1
3,11,1,0,2,0,-1
1,12,1,0,2,1,-1
3,11,1,0,1,1,-1
1,12,1,0,1,2,-1
3,11,1,0,0,2,-1
2,11,0,1,1,1,-1
1,12,0,0,2,2,-1
3,11,0,1,1,2,-1
3,10,0,1,2,2,-1
3,9,0,1,4,2,-1
3,8,0,1,4,1,-1
1,9,0,1,5,0,-1
3,8,0,1,6,0,-1
1,9,0,1,5,1,-1
3,8,0,1,6,0,-1
1,9,0,1,8,0,-1
1,10,0,1,9,0,-1
1,11,0,1,11,0,-101
1,11,0,1,11,0,-101
