Action,Agent X,Agent Y,Observation,Predator X,Predator Y,Reward
-1,7,0,-1,3,6,0
1,8,0,1,3,4,-1
1,9,0,1,4,4,-1
1,10,0,1,3,3,-1
1,11,0,0,5,3,-1
1,12,0,0,5,2,-1
1,13,0,0,5,3,-1
1,14,0,0,5,2,-1
0,14,1,0,6,2,-1
0,14,2,0,7,2,-1
0,14,3,0,7,1,-1
0,14,4,0,8,1,-1
3,13,4,0,7,1,-1
3,12,4,0,8,1,-1
0,12,5,0,8,0,-1
0,12,6,0,9,0,-1
0,12,7,0,10,0,-1
0,12,8,0,9,0,-1
0,12,9,0,10,0,-1
0,12,10,0,9,0,-1
0,12,11,0,8,0,-1
0,12,12,0,9,0,-1
3,11,12,0,10,0,-1
0,11,13,0,9,0,-1
3,10,13,0,8,0,-1
0,10,14,0,9,0,-1
3,9,14,0,10,0,-1
3,8,14,0,9,0,-1
3,7,14,0,10,0,999
3,7,14,0,10,0,999
