Action,Agent X,Agent Y,Observation,Predator X,Predator Y,Reward
-1,7,0,-1,0,13,0
0,7,1,0,0,14,-1
0,7,2,0,1,14,-1
0,7,3,0,1,13,-1
1,8,3,0,1,12,-1
0,8,4,0,1,11,-1
1,9,4,0,1,12,-1
3,8,4,0,1,13,-1
1,9,4,0,1,14,-1
3,8,4,0,2,14,-1
1,9,4,0,1,14,-1
1,10,4,0,1,13,-1
2,10,3,0,1,14,-1
0,10,4,0,0,14,-1
3,9,4,0,0,13,-1
0,9,5,0,0,12,-1
3,8,5,0,0,13,-1
1,9,5,0,1,13,-1
1,10,5,0,2,13,-1
1,11,5,0,1,13,-1
3,10,5,0,0,13,-1
3,9,5,0,0,14,-1
3,8,5,0,1,14,-1
1,9,5,0,1,13,-1
0,9,6,0,1,14,-1
0,9,7,0,0,14,-1
2,9,6,0,1,14,-1
0,9,7,0,2,14,-1
2,9,6,0,3,14,-1
3,8,6,0,3,13,-1
0,8,7,0,3,14,-1
3,7,7,0,2,14,-1
3,6,7,0,2,13,-1
1,7,7,0,2,12,-1
2,7,6,0,1,12,-1
0,7,7,0,0,12,-1
0,7,8,0,0,13,-1
0,7,9,0,0,12,-1
0,7,10,0,0,13,-1
0,7,11,0,1,13,-1
0,7,12,0,1,12,-1
0,7,13,0,1,11,-1
0,7,14,0,1,12,999
0,7,14,0,1,12,999
