Action,Agent X,Agent Y,Observation,Predator X,Predator Y,Reward
-1,7,0,-1,1,12,0
1,8,0,1,2,12,-1
3,7,0,0,2,11,-1
3,6,0,0,1,11,-1
1,7,0,0,2,11,-1
1,8,0,1,2,12,-1
3,7,0,0,2,11,-1
1,8,0,1,2,12,-1
3,7,0,0,1,12,-1
1,8,0,1,2,12,-1
3,7,0,0,3,12,-1
1,8,0,1,3,11,-1
1,9,0,1,3,9,-1
1,10,0,0,2,8,-1
0,10,1,1,3,8,-1
0,10,2,0,4,8,-1
0,10,3,0,5,8,-1
2,10,2,0,5,7,-1
2,10,1,1,5,6,-1
1,11,1,0,5,7,-1
3,10,1,1,5,6,-1
1,11,1,0,4,6,-1
3,10,1,1,4,7,-1
1,11,1,0,5,7,-1
1,12,1,0,5,6,-1
2,12,0,0,6,6,-1
1,13,0,1,8,3,-1
1,14,0,1,10,3,-1
3,13,0,1,9,2,-1
1,14,0,1,11,2,-1
0,14,1,1,12,2,-1
2,14,0,1,12,0,-1
0,14,1,1,13,1,-1
0,14,2,1,14,1,-1
0,14,3,1,13,0,-1
0,14,4,1,12,1,-1
0,14,5,1,12,2,-1
2,14,4,1,14,4,-101
2,14,4,1,14,4,-101
