Action,Agent X,Agent Y,Observation,Predator X,Predator Y,Reward
-1,7,0,-1,4,2,0
1,8,0,1,5,1,-1
1,9,0,1,4,1,-1
0,9,1,0,5,2,-1
0,9,2,0,5,1,-1
1,10,2,1,6,1,-1
1,11,2,1,8,1,-1
1,12,2,0,9,1,-1
0,12,3,1,10,2,-1
0,12,4,1,12,2,-1
3,11,4,0,10,2,-1
3,10,4,0,9,2,-1
3,9,4,0,10,2,-1
0,9,5,0,11,2,-1
0,9,6,0,10,2,-1
0,9,7,0,11,2,-1
0,9,8,0,10,2,-1
0,9,9,0,9,2,-1
0,9,10,0,10,2,-1
0,9,11,0,11,2,-1
0,9,12,0,12,2,-1
3,8,12,0,11,2,-1
0,8,13,0,10,2,-1
0,8,14,0,9,2,-1
2,8,13,0,9,1,-1
0,8,14,0,9,2,-1
1,9,14,0,10,2,-1
3,8,14,0,9,2,-1
3,7,14,0,10,2,999
3,7,14,0,10,2,999
