Action,Agent X,Agent Y,Observation,Predator X,Predator Y,Reward
-1,7,0,-1,14,7,0
1,8,0,0,14,8,-1
3,7,0,0,14,9,-1
1,8,0,0,13,9,-1
0,8,1,0,12,9,-1
0,8,2,0,11,9,-1
2,8,1,0,10,9,-1
3,7,1,0,11,9,-1
3,6,1,0,11,8,-1
1,7,1,0,11,7,-1
3,6,1,0,11,8,-1
1,7,1,0,11,7,-1
1,8,1,0,10,7,-1
3,7,1,0,10,8,-1
1,8,1,0,9,8,-1
3,7,1,0,9,9,-1
3,6,1,0,9,8,-1
1,7,1,0,10,8,-1
1,8,1,0,10,9,-1
3,7,1,0,10,8,-1
3,6,1,0,9,8,-1
2,6,0,0,9,9,-1
0,6,1,0,9,10,-1
2,6,0,0,9,11,-1
3,5,0,0,9,10,-1
1,6,0,0,9,9,-1
0,6,1,0,9,8,-1
2,6,0,0,9,7,-1
0,6,1,0,9,8,-1
1,7,1,0,9,9,-1
1,8,1,0,10,9,-1
2,8,0,0,10,8,-1
3,7,0,0,10,7,-1
3,6,0,0,9,7,-1
0,6,1,0,10,7,-1
2,6,0,0,11,7,-1
3,5,0,0,11,8,-1
1,6,0,0,11,9,-1
3,5,0,0,10,9,-1
1,6,0,0,10,8,-1
3,5,0,0,9,8,-1
1,6,0,0,9,7,-1
0,6,1,0,10,7,-1
2,6,0,0,9,7,-1
1,7,0,0,9,8,-1
3,6,0,0,10,8,-1
0,6,1,0,9,8,-1
1,7,1,0,9,7,-1
1,8,1,0,10,7,-1
3,7,1,0,11,7,-1
2,7,0,0,10,7,-1
3,6,0,0,9,7,-1
3,5,0,0,8,7,-1
1,6,0,0,8,6,-1
1,7,0,0,8,5,-1
1,8,0,1,9,5,-1
3,7,0,1,9,3,-1
3,6,0,1,10,2,-1
1,7,0,1,9,1,-1
3,6,0,1,8,1,-1
3,5,0,1,9,1,-1
1,6,0,1,8,1,-1
0,6,1,1,7,1,-1
2,6,0,1,6,1,-1
1,7,0,1,7,1,-1
1,8,0,1,7,0,-1
0,8,1,1,8,1,-101
0,8,1,1,8,1,-101
