Action,Agent X,Agent Y,Observation,Predator X,Predator Y,Reward
-1,7,0,-1,14,7,0
0,7,1,0,14,8,-1
1,8,1,0,14,7,-1
1,9,1,0,13,7,-1
3,8,1,0,13,6,-1
1,9,1,0,13,7,-1
1,10,1,0,13,6,-1
0,10,2,0,13,5,-1
1,11,2,0,12,5,-1
1,12,2,0,12,4,-1
3,11,2,0,12,5,-1
3,10,2,0,11,5,-1
2,10,1,0,10,5,-1
1,11,1,0,11,5,-1
3,10,1,0,10,5,-1
3,9,1,0,9,5,-1
1,10,1,0,10,5,-1
0,10,2,0,11,5,-1
1,11,2,0,10,5,-1
1,12,2,0,11,5,-1
3,11,2,0,10,5,-1
3,10,2,0,11,5,-1
0,10,3,0,10,5,-1
2,10,2,1,9,5,-1
2,10,1,1,9,3,-1
1,11,1,1,10,3,-1
1,12,1,1,10,2,-1
2,12,0,1,11,1,-1
1,13,0,1,12,0,-1
1,14,0,1,14,0,-101
1,14,0,1,14,0,-101
