Action,Agent X,Agent Y,Observation,Predator X,Predator Y,Reward
-1,7,0,-1,6,10,0
1,8,0,1,6,9,-1
1,9,0,1,6,7,-1
0,9,1,1,6,5,-1
1,10,1,1,7,5,-1
1,11,1,1,8,4,-1
2,11,0,1,8,3,-1
1,12,0,1,9,2,-1
1,13,0,1,10,3,-1
1,14,0,1,11,2,-1
0,14,1,1,12,2,-1
2,14,0,1,11,1,-1
0,14,1,1,12,1,-1
0,14,2,1,13,1,-1
0,14,3,1,14,2,-1
0,14,4,1,14,3,-1
3,13,4,1,13,3,-1
0,13,5,1,13,2,-1
0,13,6,1,13,3,-1
0,13,7,1,13,4,-1
3,12,7,1,13,5,-1
3,11,7,1,12,5,-1
0,11,8,1,12,7,-1
3,10,8,1,11,7,-1
0,10,9,1,11,8,-1
3,9,9,1,10,8,-1
0,9,10,1,11,9,-1
0,9,11,1,11,11,-1
0,9,12,1,10,11,-1
3,8,12,1,8,11,-1
0,8,13,1,9,12,-1
3,7,13,1,8,11,-1
0,7,14,1,8,12,999
0,7,14,1,8,12,999
