Action,Agent X,Agent Y,Observation,Predator X,Predator Y,Reward
-1,7,0,-1,10,14,0
3,6,0,0,11,14,-1
0,6,1,0,11,13,-1
3,5,1,0,10,13,-1
3,4,1,0,11,13,-1
3,3,1,0,11,14,-1
2,3,0,0,11,13,-1
0,3,1,0,12,13,-1
0,3,2,0,13,13,-1
0,3,3,0,13,14,-1
1,4,3,0,14,14,-1
3,3,3,0,14,13,-1
0,3,4,0,13,13,-1
0,3,5,0,13,12,-1
2,3,4,0,12,12,-1
0,3,5,0,13,12,-1
0,3,6,0,14,12,-1
0,3,7,0,13,12,-1
1,4,7,0,14,12,-1
2,4,6,0,14,11,-1
0,4,7,0,14,10,-1
1,5,7,0,13,10,-1
3,4,7,0,14,10,-1
0,4,8,0,14,9,-1
1,5,8,0,14,8,-1
3,4,8,0,14,7,-1
2,4,7,0,14,8,-1
3,3,7,0,14,9,-1
0,3,8,0,14,10,-1
2,3,7,0,13,10,-1
0,3,8,0,14,10,-1
0,3,9,0,13,10,-1
2,3,8,0,14,10,-1
2,3,7,0,13,10,-1
0,3,8,0,14,10,-1
1,4,8,0,13,10,-1
1,5,8,0,13,11,-1
0,5,9,0,14,11,-1
0,5,10,0,14,12,-1
0,5,11,0,13,12,-1
0,5,12,0,13,11,-1
0,5,13,0,12,11,-1
1,6,13,0,11,11,-1
3,5,13,0,12,11,-1
0,5,14,0,11,11,-1
2,5,13,0,11,12,-1
1,6,13,0,10,12,-1
1,7,13,0,10,13,-1
0,7,14,1,10,14,999
0,7,14,1,10,14,999
