Action,Agent X,Agent Y,Observation,Predator X,Predator Y,Reward
-1,7,0,-1,0,0,0
0,7,1,0,1,0,-1
1,8,1,0,1,1,-1
0,8,2,0,0,1,-1
0,8,3,0,1,1,-1
0,8,4,0,0,1,-1
3,7,4,0,1,1,-1
3,6,4,0,1,0,-1
0,6,5,0,1,1,-1
1,7,5,0,0,1,-1
0,7,6,0,1,1,-1
0,7,7,0,0,1,-1
2,7,6,0,1,1,-1
3,6,6,0,0,1,-1
1,7,6,0,1,1,-1
0,7,7,0,1,0,-1
0,7,8,0,1,1,-1
2,7,7,0,0,1,-1
0,7,8,0,1,1,-1
0,7,9,0,1,0,-1
2,7,8,0,1,1,-1
1,8,8,0,0,1,-1
3,7,8,0,0,2,-1
1,8,8,0,0,1,-1
2,8,7,0,1,1,-1
3,7,7,0,0,1,-1
1,8,7,0,1,1,-1
3,7,7,0,1,0,-1
0,7,8,0,1,1,-1
1,8,8,0,0,1,-1
3,7,8,0,1,1,-1
2,7,7,0,1,0,-1
3,6,7,0,1,1,-1
2,6,6,0,1,0,-1
3,5,6,0,0,0,-1
2,5,5,0,1,0,-1
1,6,5,0,1,1,-1
0,6,6,0,0,1,-1
1,7,6,1,0,2,-1
3,6,6,0,1,3,-1
0,6,7,0,3,3,-1
1,7,7,0,4,3,-1
0,7,8,1,3,3,-1
2,7,7,1,4,4,-1
0,7,8,0,2,4,-1
2,7,7,0,3,4,-1
0,7,8,1,4,4,-1
2,7,7,1,3,3,-1
0,7,8,1,4,4,-1
2,7,7,1,3,3,-1
0,7,8,1,4,4,-1
2,7,7,1,3,3,-1
0,7,8,0,2,4,-1
2,7,7,0,3,4,-1
3,6,7,0,2,4,-1
2,6,6,0,3,4,-1
0,6,7,1,4,4,-1
2,6,6,0,3,4,-1
0,6,7,1,4,4,-1
3,5,7,0,2,4,-1
1,6,7,0,3,4,-1
2,6,6,1,3,3,-1
0,6,7,0,4,2,-1
0,6,8,1,4,3,-1
1,7,8,1,4,4,-1
3,6,8,0,2,4,-1
2,6,7,0,3,4,-1
1,7,7,1,4,4,-1
3,6,7,0,2,4,-1
1,7,7,0,3,4,-1
3,6,7,1,4,4,-1
1,7,7,1,3,3,-1
0,7,8,1,4,4,-1
2,7,7,1,3,3,-1
0,7,8,0,3,4,-1
2,7,7,1,4,4,-1
0,7,8,0,3,4,-1
2,7,7,1,4,4,-1
0,7,8,0,5,3,-1
2,7,7,1,6,3,-1
0,7,8,1,6,5,-1
0,7,9,1,6,6,-1
0,7,10,1,6,7,-1
3,6,10,0,5,7,-1
1,7,10,0,5,8,-1
1,8,10,0,4,8,-1
0,8,11,0,5,8,-1
0,8,12,0,6,8,-1
1,9,12,1,7,8,-1
3,8,12,1,7,9,-1
3,7,12,1,8,10,-1
0,7,13,1,8,12,-1
0,7,14,1,7,13,999
0,7,14,1,7,13,999
