Action,Agent X,Agent Y,Observation,Predator X,Predator Y,Reward
-1,7,0,-1,14,8,0
3,6,0,1,13,8,-1
3,5,0,1,12,9,-1
3,4,0,1,12,8,-1
3,3,0,1,11,8,-1
3,2,0,1,9,8,-1
3,1,0,1,8,8,-1
3,0,0,1,6,8,-1
0,0,1,1,6,7,-1
2,0,0,1,7,7,-1
1,1,0,1,7,6,-1
3,0,0,1,6,7,-1
1,1,0,1,7,6,-1
3,0,0,1,5,6,-1
1,1,0,1,5,5,-1
3,0,0,1,4,6,-1
1,1,0,1,4,5,-1
3,0,0,1,4,4,-1
0,0,1,1,3,5,-1
2,0,0,1,4,5,-1
1,1,0,1,3,6,-1
3,0,0,1,3,5,-1
1,1,0,1,3,4,-1
3,0,0,1,3,3,-1
0,0,1,1,2,3,-1
2,0,0,1,2,2,-1
1,1,0,1,3,1,-1
3,0,0,1,5,1,-1
0,0,1,1,4,1,-1
0,0,2,1,3,1,-1
0,0,3,1,2,1,-1
0,0,4,1,2,0,-1
0,0,5,1,2,1,-1
0,0,6,1,3,2,-1
0,0,7,1,3,3,-1
0,0,8,1,3,5,-1
0,0,9,1,2,6,-1
0,0,10,1,2,5,-1
0,0,11,1,2,7,-1
0,0,12,1,2,9,-1
1,1,12,1,1,10,-1
0,1,13,1,1,11,-1
0,1,14,1,2,11,-1
1,2,14,1,2,12,-1
1,3,14,1,3,13,-1
1,4,14,1,4,13,-1
1,5,14,1,5,12,-1
1,6,14,1,5,13,-1
1,7,14,1,7,13,999
1,7,14,1,7,13,999
