Action,Agent X,Agent Y,Observation,Predator X,Predator Y,Reward
-1,7,0,-1,0,0,0
1,8,0,0,0,1,-1
0,8,1,0,0,0,-1
3,7,1,0,0,1,-1
3,6,1,0,0,0,-1
0,6,2,0,0,1,-1
0,6,3,0,0,0,-1
0,6,4,0,1,0,-1
0,6,5,0,0,0,-1
0,6,6,0,1,0,-1
0,6,7,1,0,0,-1
1,7,7,0,0,1,-1
0,7,8,0,1,0,-1
0,7,9,0,0,0,-1
1,8,9,1,0,1,-1
1,9,9,0,0,2,-1
0,9,10,1,1,2,-1
0,9,11,0,2,2,-1
0,9,12,0,2,3,-1
3,8,12,0,1,4,-1
0,8,13,0,2,4,-1
0,8,14,0,3,4,-1
1,9,14,0,4,4,-1
3,8,14,0,4,5,-1
2,8,13,0,4,6,-1
3,7,13,0,4,5,-1
2,7,12,0,4,6,-1
1,8,12,0,5,6,-1
3,7,12,0,5,7,-1
0,7,13,0,5,6,-1
0,7,14,0,4,6,999
0,7,14,0,4,6,999
