Action,Agent X,Agent Y,Observation,Predator X,Predator Y,Reward
-1,7,0,-1,13,12,0
3,6,0,1,13,11,-1
3,5,0,1,13,10,-1
3,4,0,1,13,8,-1
3,3,0,0,11,8,-1
3,2,0,0,10,8,-1
3,1,0,0,10,9,-1
0,1,1,0,11,9,-1
2,1,0,0,10,9,-1
0,1,1,0,10,8,-1
0,1,2,0,10,7,-1
1,2,2,0,10,8,-1
1,3,2,0,10,7,-1
1,4,2,0,9,7,-1
1,5,2,0,9,6,-1
3,4,2,0,8,6,-1
3,3,2,0,7,6,-1
0,3,3,0,8,6,-1
2,3,2,0,7,6,-1
2,3,1,0,8,6,-1
2,3,0,0,8,7,-1
0,3,1,0,8,6,-1
1,4,1,0,7,6,-1
1,5,1,0,8,6,-1
3,4,1,0,7,6,-1
0,4,2,0,8,6,-1
1,5,2,0,9,6,-1
1,6,2,1,9,5,-1
3,5,2,1,10,4,-1
3,4,2,1,8,4,-1
3,3,2,1,9,4,-1
3,2,2,1,8,4,-1
3,1,2,1,9,4,-1
3,0,2,1,7,4,-1
2,0,1,1,6,4,-1
2,0,0,1,5,3,-1
1,1,0,1,4,3,-1
3,0,0,1,5,3,-1
0,0,1,1,6,2,-1
2,0,0,1,5,2,-1
0,0,1,1,4,2,-1
0,0,2,1,3,2,-1
2,0,1,1,3,1,-1
0,0,2,1,2,2,-1
0,0,3,1,1,2,-1
0,0,4,1,1,3,-1
1,1,4,1,1,4,-101
1,1,4,1,1,4,-101
