Action,Agent X,Agent Y,Observation,Predator X,Predator Y,Reward
-1,7,0,-1,3,3,0
1,8,0,1,4,2,-1
1,9,0,0,5,2,-1
1,10,0,0,5,3,-1
0,10,1,0,5,2,-1
1,11,1,0,5,3,-1
0,11,2,0,5,2,-1
0,11,3,0,4,2,-1
0,11,4,0,4,1,-1
0,11,5,1,4,2,-1
0,11,6,1,5,2,-1
0,11,7,1,6,3,-1
0,11,8,1,5,3,-1
0,11,9,0,6,3,-1
0,11,10,0,7,4,-1
3,10,10,0,8,4,-1
1,11,10,0,8,5,-1
3,10,10,0,9,5,-1
3,9,10,0,9,6,-1
2,9,9,0,10,6,-1
3,8,9,0,10,7,-1
1,9,9,0,11,8,-1
3,8,9,1,10,8,-1
1,9,9,1,10,7,-1
3,8,9,1,11,8,-1
1,9,9,1,10,7,-1
3,8,9,1,11,8,-1
1,9,9,1,10,8,-1
3,8,9,0,10,7,-1
1,9,9,0,11,8,-1
0,9,10,0,10,8,-1
3,8,10,1,11,7,-1
1,9,10,1,10,7,-1
3,8,10,0,9,6,-1
2,8,9,0,10,6,-1
0,8,10,0,10,7,-1
2,8,9,1,10,8,-1
0,8,10,1,11,7,-1
2,8,9,1,10,8,-1
0,8,10,1,11,7,-1
2,8,9,0,10,7,-1
0,8,10,1,10,8,-1
2,8,9,0,10,7,-1
0,8,10,1,10,8,-1
3,7,10,0,10,6,-1
1,8,10,0,9,6,-1
3,7,10,0,10,6,-1
1,8,10,0,10,7,-1
3,7,10,1,10,8,-1
1,8,10,1,11,7,-1
3,7,10,0,10,7,-1
1,8,10,1,10,8,-1
3,7,10,0,10,7,-1
1,8,10,1,10,8,-1
3,7,10,0,10,7,-1
1,8,10,1,10,8,-1
3,7,10,0,10,6,-1
1,8,10,0,10,7,-1
3,7,10,1,11,7,-1
1,8,10,1,10,8,-1
3,7,10,0,10,7,-1
1,8,10,1,10,8,-1
3,7,10,0,10,7,-1
1,8,10,1,10,8,-1
3,7,10,0,10,7,-1
0,7,11,1,10,8,-1
2,7,10,0,10,7,-1
0,7,11,1,10,8,-1
2,7,10,0,10,7,-1
0,7,11,1,10,8,-1
2,7,10,0,10,7,-1
0,7,11,1,10,8,-1
2,7,10,0,11,8,-1
0,7,11,1,10,8,-1
2,7,10,0,11,8,-1
0,7,11,1,10,8,-1
2,7,10,0,10,7,-1
0,7,11,1,10,8,-1
2,7,10,0,10,6,-1
0,7,11,0,9,6,-1
2,7,10,0,9,5,-1
0,7,11,0,9,6,-1
2,7,10,0,10,6,-1
0,7,11,0,9,6,-1
2,7,10,0,9,5,-1
0,7,11,0,9,6,-1
2,7,10,0,10,6,-1
2,7,9,0,9,6,-1
0,7,10,0,9,5,-1
1,8,10,0,9,6,-1
2,8,9,0,9,5,-1
0,8,10,0,9,6,-1
1,9,10,0,9,5,-1
1,10,10,0,8,5,-1
3,9,10,0,7,5,-1
3,8,10,0,7,6,-1
3,7,10,1,6,6,-1
3,6,10,0,6,7,-1
0,6,11,0,6,8,-1
0,6,12,0,5,8,-1
0,6,13,0,6,8,-1
2,6,12,0,5,8,-1
0,6,13,0,6,8,-1
3,5,13,1,7,8,-1
3,4,13,1,7,10,-1
3,3,13,0,7,9,-1
3,2,13,0,7,10,-1
2,2,12,0,6,10,-1
3,1,12,0,6,11,-1
1,2,12,0,6,12,-1
3,1,12,0,5,12,-1
1,2,12,0,4,12,-1
3,1,12,1,4,13,-1
1,2,12,1,3,13,-1
2,2,11,1,2,13,-1
0,2,12,1,2,12,-101
0,2,12,1,2,12,-101
