Action,Agent X,Agent Y,Observation,Predator X,Predator Y,Reward
-1,7,0,-1,0,11,0
1,8,0,0,1,11,-1
1,9,0,0,2,11,-1
1,10,0,0,1,11,-1
1,11,0,0,1,10,-1
1,12,0,0,0,10,-1
1,13,0,0,0,9,-1
1,14,0,0,0,8,-1
0,14,1,0,0,9,-1
0,14,2,1,0,8,-1
0,14,3,1,0,7,-1
0,14,4,0,1,7,-1
0,14,5,0,2,7,-1
3,13,5,0,2,6,-1
0,13,6,0,2,5,-1
1,14,6,0,1,6,-1
0,14,7,0,2,6,-1
0,14,8,0,3,6,-1
0,14,9,0,2,6,-1
0,14,10,0,3,6,-1
0,14,11,0,4,6,-1
0,14,12,0,5,6,-1
0,14,13,0,6,6,-1
3,13,13,0,6,5,-1
3,12,13,0,7,5,-1
0,12,14,0,8,5,-1
3,11,14,0,9,5,-1
3,10,14,0,9,4,-1
3,9,14,0,10,3,-1
3,8,14,0,11,3,-1
3,7,14,0,11,4,999
3,7,14,0,11,4,999
