Action,Agent X,Agent Y,Observation,Predator X,Predator Y,Reward
-1,7,0,-1,0,0,0
3,6,0,0,1,0,-1
3,5,0,0,2,0,-1
1,6,0,0,3,0,-1
1,7,0,0,2,0,-1
3,6,0,0,3,0,-1
3,5,0,0,2,0,-1
0,5,1,0,3,0,-1
1,6,1,0,2,0,-1
0,6,2,0,3,0,-1
0,6,3,0,2,0,-1
1,7,3,0,1,0,-1
0,7,4,0,1,1,-1
3,7,4,0,1,0,-26
1,8,4,0,2,0,-1
0,8,5,0,3,0,-1
0,8,6,0,2,0,-1
0,8,7,0,1,0,-1
1,9,7,0,1,1,-1
0,9,8,0,0,1,-1
3,8,8,0,1,1,-1
1,9,8,0,0,1,-1
1,10,8,0,1,1,-1
3,9,8,0,0,1,-1
3,8,8,0,1,1,-1
3,7,8,0,0,1,-1
0,7,9,0,0,2,-1
0,7,10,0,0,1,-1
3,6,10,0,0,2,-1
0,6,11,0,0,1,-1
0,6,12,0,0,0,-1
1,7,12,0,0,1,-1
0,7,13,0,0,0,-1
0,7,14,0,0,1,999
0,7,14,0,0,1,999
